,SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,encoded category
105,1995,5,3,Suburb,1965,221217.76933158597,1
106,1269,3,2,Suburb,1999,218784.63298580731,1
107,2886,5,3,Rural,1969,315607.02376495936,0
108,1815,3,3,Urban,2016,217967.92847377845,2
109,2294,4,1,Rural,1994,353343.63401135267,0
110,1455,3,3,Urban,1984,187002.96390785457,2
111,2485,4,2,Rural,1978,222855.0832963985,0
112,2750,4,2,Rural,1994,366548.8223262025,0
113,2275,5,2,Rural,1964,259473.2793370484,0
114,2016,4,2,Urban,1952,212440.4223945249,2
115,2725,2,2,Urban,2018,237066.6856356926,2
116,1295,3,3,Urban,1983,158357.6480582802,2
117,2748,5,1,Suburb,2020,255619.99775314287,1
118,1719,4,1,Suburb,1953,190659.43496867083,1
119,2772,3,2,Urban,1968,284985.43569363654,2
120,1337,3,3,Urban,1970,214741.228522745,2
121,1878,2,1,Suburb,1964,128693.02879404814,1
122,2076,3,2,Rural,1966,184051.98271688656,0
123,1791,5,3,Rural,2003,242865.26019000952,0
124,2945,5,1,Urban,1986,295356.77549321775,2
125,1216,4,3,Rural,2003,107868.93208831896,0
126,1763,4,2,Urban,1971,207380.13609180792,2
127,1187,5,3,Suburb,1957,132828.81413178446,1
128,1379,3,1,Urban,1960,84493.6913127725,2
129,1492,3,1,Suburb,2019,53360.86540604882,1
130,2064,2,3,Rural,1958,296199.3496255564,0
131,2180,4,1,Urban,1951,273924.557395998,2
132,1014,3,3,Urban,1981,204340.7258965054,2
133,2836,3,3,Urban,2000,228582.09695971967,2
134,1064,4,2,Suburb,1986,237384.3466275038,1
135,2880,5,2,Rural,1955,312245.8679787154,0
136,2862,3,3,Urban,1961,219408.6249604324,2
137,1520,2,1,Rural,2003,201334.94160447217,0
138,2367,3,2,Suburb,1995,221413.5776081872,1
139,2152,3,1,Rural,1982,306839.62194227794,0
140,1647,2,3,Urban,1967,126756.3572316613,2
141,2495,5,1,Urban,1987,328702.8347369156,2
142,2086,2,1,Suburb,2008,141074.02839361285,1
143,2162,2,3,Rural,1956,220712.46134879728,0
144,2522,4,2,Urban,1964,319176.8398973249,2
145,1592,3,2,Suburb,1950,245299.2098929523,1
146,1391,5,1,Rural,1995,51154.13113008726,0
147,2698,3,3,Urban,1981,314018.0283390546,2
148,1418,5,3,Suburb,1998,222904.25800629333,1
149,1288,2,2,Suburb,1959,115697.77821526628,1
150,1378,4,3,Suburb,1966,140714.77037514705,1
151,2796,2,3,Suburb,1969,178353.14814536367,1
152,2513,3,1,Suburb,2000,280022.0311214733,1
153,1230,4,1,Rural,1971,136418.4807787985,0
154,2017,4,2,Urban,1969,195803.9703359068,2
155,1040,3,2,Rural,2014,98933.439065306,0
156,2051,5,1,Suburb,1953,185052.5631740863,1
157,1134,4,3,Urban,2003,160764.43940877952,2
158,1200,5,3,Suburb,2014,156394.27348181067,1
159,2863,5,1,Suburb,2000,333464.1490294491,1
160,1779,5,1,Urban,1960,211994.3281859909,2
161,1929,4,1,Rural,1976,252779.69087222763,0
162,2056,2,1,Urban,1975,288750.4043072761,2
163,2071,4,3,Rural,1966,185482.06063162317,0
164,1502,2,3,Suburb,1991,119671.3689479028,1
165,1406,4,2,Suburb,1997,148891.4193350198,1
166,2597,2,1,Rural,1982,235810.22355681533,0
167,2751,2,2,Suburb,2010,357765.11724448414,1
168,1804,4,3,Rural,1978,216771.35995628755,0
169,1098,5,2,Rural,2012,102580.49836622812,0
170,1683,5,3,Urban,1986,208774.14233121456,2
171,2895,2,3,Suburb,2005,302454.6401474587,1
172,1725,3,2,Urban,1965,208558.78172335384,2
173,2570,3,2,Urban,2005,276434.5399454463,2
174,1960,4,1,Suburb,1991,220786.7119550845,1
175,2762,4,3,Urban,1973,354268.47524739604,2
176,1612,4,1,Suburb,2018,142420.97226095255,1
177,2966,3,1,Suburb,1980,299146.59537507093,1
178,2485,5,3,Urban,1960,321647.4526525699,2
179,1642,4,2,Suburb,1951,216976.90806023663,1
180,2792,4,1,Suburb,2020,243179.70337319985,1
181,2028,5,1,Suburb,1984,184210.77355558556,1
182,2241,2,3,Suburb,2011,175779.56815188617,1
183,1502,4,2,Urban,2003,162271.08640489963,2
184,1766,3,2,Rural,2018,240727.03972085557,0
185,1397,3,1,Urban,2000,186900.94639311853,2
186,1870,4,3,Rural,1958,208692.1497994106,0
187,1794,3,1,Rural,1963,114333.69387419586,0
188,1392,5,2,Rural,2005,225281.32417764855,0
189,1206,2,1,Suburb,1983,110852.45257182162,1
190,2038,2,3,Rural,1950,206119.18171087175,0
191,2881,4,1,Suburb,1987,292218.3734233528,1
192,2577,4,2,Suburb,1966,209166.2973385366,1
193,1891,2,3,Suburb,1965,283220.10867648444,1
194,2484,2,3,Urban,1997,354538.82144245284,2
195,2714,4,3,Rural,1999,290954.49181524914,0
196,2598,3,3,Urban,2020,207377.55545532453,2
197,1863,4,3,Suburb,1990,267934.0925699399,1
198,1742,5,1,Urban,1993,235034.89983819608,2
199,2264,4,3,Suburb,1964,246611.88309182983,1
200,1563,4,2,Urban,2010,314867.65157339314,2
201,2020,4,3,Suburb,1999,278092.75713699666,1
202,1095,4,2,Suburb,2001,88443.38397499491,1
203,2923,4,2,Urban,2001,235396.4544878884,2
204,2757,4,2,Suburb,1985,280503.8129283642,1
205,1484,3,2,Rural,1982,273072.3372618648,0
206,2430,4,2,Urban,1994,252666.84831969367,2
207,1230,2,1,Urban,1951,133914.40680878342,2
208,1748,4,2,Suburb,1950,142717.8302268369,1
209,2678,3,2,Urban,2019,266197.0443802551,2
210,2194,5,2,Rural,1996,245433.69445927496,0
211,1540,2,1,Urban,2013,177796.40298151918,2
212,2059,4,3,Rural,1967,226582.27427106167,0
213,1524,4,2,Urban,2003,170745.4653213651,2
214,2183,2,1,Rural,1984,194059.37069774355,0
215,2862,4,1,Urban,2008,347187.40927735553,2
216,2722,3,1,Rural,1985,345978.9788809702,0
217,2266,4,3,Suburb,1975,323981.5079872238,1
218,2109,5,1,Urban,1994,185909.90163690777,2
219,2819,3,2,Urban,2018,231642.41525201904,2
220,1577,4,2,Rural,1979,181472.0115124785,0
221,1681,5,2,Urban,1982,247683.3818141536,2
222,1556,2,3,Rural,1972,174119.77971258396,0
223,2597,3,1,Suburb,1970,249931.38186463085,1
224,2976,4,2,Rural,2012,352084.04725339817,0
225,2012,4,2,Urban,2019,356256.91027704417,2
226,1645,2,2,Suburb,2017,115738.60239613194,1
227,1795,2,3,Rural,1985,265399.2764300769,0
228,2051,3,2,Rural,1986,205543.4524987724,0
229,2643,3,1,Suburb,1950,248155.87168453963,1
230,2579,3,1,Urban,1975,318796.39679075696,2
231,2363,4,3,Urban,1991,254479.2559878204,2
232,2821,4,3,Urban,1989,248782.21694158544,2
233,2981,3,3,Suburb,2002,320922.1761831169,1
234,2354,4,1,Rural,2011,265274.0039736152,0
235,2663,2,3,Suburb,1993,283301.9362070697,1
236,2529,5,3,Rural,1985,291195.67134809634,0
237,2371,4,1,Suburb,1953,240277.00975870187,1
238,2496,3,2,Rural,1970,316708.5953854667,0
239,2254,4,3,Rural,1966,267724.6993464473,0
240,1189,2,2,Suburb,1965,52033.75929268488,1
241,2248,3,2,Suburb,1990,157260.98352993536,1
242,2408,5,2,Suburb,2004,349887.387165537,1
243,2400,3,2,Rural,2006,302581.5244158059,0
244,2306,3,3,Suburb,2015,267740.4346651604,1
245,2981,3,3,Rural,1987,296942.7544003423,0
246,1632,4,3,Rural,2005,211665.6221785599,0
247,1627,5,1,Suburb,1986,240462.67775685625,1
248,1972,2,1,Urban,1999,221900.77310879892,2
249,2768,4,2,Urban,2004,337510.5084427254,2
250,2282,5,1,Rural,1950,351438.5468115283,0
251,2382,5,2,Rural,2014,207718.7411877128,0
252,1709,4,2,Urban,2014,187379.39012426996,2
253,2479,3,3,Rural,1993,325104.8263530242,0
254,2434,5,3,Urban,1961,234064.51365009736,2
255,1648,2,1,Rural,2002,168976.49535597963,0
256,1317,4,3,Rural,2010,72491.39025921248,0
257,2700,5,1,Suburb,1962,397825.33643637935,1
258,2248,2,3,Urban,1991,224680.0524200836,2
259,2842,2,3,Rural,1995,297609.7185248232,0
260,2257,2,1,Urban,1991,211357.56307458412,2
261,1683,2,2,Suburb,1965,191156.38414084716,1
262,1663,4,1,Urban,1993,198444.2855472129,2
263,2998,2,3,Rural,2019,227602.84522047613,0
264,2850,4,2,Urban,1965,227374.5843014784,2
265,2397,2,3,Suburb,1971,311492.246607957,1
266,2695,2,3,Urban,1984,341035.6518169741,2
267,2631,4,3,Urban,1998,329215.4127322002,2
268,2495,3,2,Urban,2020,189722.8949577994,2
269,2256,5,3,Urban,2013,315304.2483174342,2
270,2715,5,1,Rural,1980,229019.4794959325,0
271,2136,4,1,Urban,1950,218041.2170573715,2
272,2853,2,1,Suburb,1974,256367.864328076,1
273,2520,4,2,Urban,1969,427589.0870411169,2
274,1441,2,1,Suburb,1957,161116.81865195103,1
275,1563,4,3,Suburb,2013,182494.88596722667,1
276,2291,5,2,Suburb,1965,276165.905109651,1
277,2533,4,3,Suburb,2004,314516.6129790323,1
278,2830,5,3,Rural,1975,272012.265169515,0
279,2409,5,3,Urban,2014,342249.54232187086,2
280,2410,5,1,Urban,1977,258023.51102204097,2
281,2136,4,1,Rural,1995,115459.88197304336,0
282,2636,3,2,Urban,2003,240419.9739043436,2
283,2648,4,2,Rural,2003,388951.7892392383,0
284,1951,4,1,Suburb,2021,250119.2128528494,1
285,2104,3,1,Urban,1998,210586.97653456448,2
286,1698,3,3,Suburb,1995,234243.624414166,1
287,1112,5,1,Urban,1950,69293.96649206044,2
288,1001,2,3,Urban,1993,163837.68243703258,2
289,1641,2,1,Urban,1953,252127.9862511156,2
290,1219,5,3,Suburb,1980,117989.35682972187,1
291,2589,4,1,Rural,1964,313948.4453118486,0
292,1854,2,1,Suburb,1950,254919.27518581905,1
293,2759,4,2,Rural,2021,197521.82717092487,0
294,2248,3,2,Urban,1955,198494.040257516,2
295,1384,3,3,Urban,1976,152204.7558913935,2
296,2426,5,2,Urban,1975,308529.3077393932,2
297,2661,4,2,Urban,2015,308854.90099919715,2
298,2153,5,1,Suburb,1962,246860.55002366885,1
299,2076,2,3,Rural,2020,225867.2386279585,0
300,2707,2,2,Rural,1983,249678.22890096117,0
301,1729,2,2,Rural,1982,108636.47522678511,0
302,2695,4,1,Urban,1989,299818.56075223465,2
303,2733,5,1,Suburb,1992,290094.597001723,1
304,2439,5,1,Urban,1956,272077.872708492,2
305,1246,2,3,Rural,1988,130941.48294297824,0
306,1835,5,1,Suburb,2015,241849.2414576917,1
307,2462,3,3,Suburb,1985,206273.30005677108,1
308,1202,3,1,Urban,2013,155086.4598591631,2
309,2207,3,2,Suburb,1953,169742.87033019328,1
310,1122,3,3,Suburb,1971,148324.403196361,1
311,1400,5,1,Suburb,2020,184460.04344561708,1
312,1766,3,1,Urban,1953,138095.4799175649,2
313,1293,3,2,Urban,2013,205414.9104558009,2
314,1279,3,2,Suburb,1971,183265.3989623526,1
315,2860,3,2,Urban,2011,284616.467279546,2
316,1883,3,1,Suburb,1989,181947.6428840441,1
317,2633,4,2,Rural,1969,284003.76941338705,0
318,1197,4,2,Rural,1958,90959.78932620135,0
319,1981,3,3,Suburb,2014,198755.14636608923,1
320,2930,3,3,Rural,1972,370459.8290291032,0
321,2534,5,3,Rural,1984,348379.2664670972,0
322,1751,3,1,Rural,2008,270704.1541412828,0
323,1143,2,3,Suburb,1963,168931.8286047524,1
324,1608,4,1,Urban,1993,189126.05140688832,2
325,2224,3,2,Suburb,1971,218168.70814067312,1
326,2147,4,1,Suburb,1977,199220.1955072361,1
327,1186,3,1,Urban,2008,129960.0168172268,2
328,2349,2,2,Suburb,1996,281507.7449630544,1
329,1463,3,3,Suburb,2017,169378.78481722157,1
330,2372,4,3,Suburb,2019,248599.1076612193,1
331,2794,4,3,Rural,1966,411678.0284271322,0
332,1659,4,2,Suburb,1980,119032.8829834174,1
333,1763,5,1,Suburb,1963,230075.0498156624,1
334,1954,4,2,Urban,1998,122604.95616584706,2
335,2955,3,2,Rural,2016,296998.838109315,0
336,1402,2,2,Rural,1970,109470.14273140584,0
337,2369,2,2,Suburb,1962,246212.1973150715,1
338,2986,3,1,Rural,1999,310583.0758590737,0
339,2534,5,3,Rural,2017,233756.8863821809,0
340,1146,3,3,Urban,1961,100102.22524595106,2
341,2171,4,2,Urban,1997,199324.84069986545,2
342,1863,5,1,Rural,2013,331026.59636098804,0
343,2734,3,2,Urban,1964,231041.34837459872,2
344,2843,5,1,Suburb,1965,333530.0633743215,1
345,1488,2,2,Urban,2021,61092.661234490224,2
346,1928,3,3,Suburb,1999,205778.3124412656,1
347,2959,3,3,Urban,1990,384570.7364514372,2
348,2663,2,2,Rural,1953,339772.9527372086,0
349,1550,5,3,Suburb,1969,186745.12964093967,1
350,1337,2,2,Urban,1957,185559.0801900139,2
351,1871,5,1,Urban,2017,213894.31463154923,2
352,1640,3,1,Suburb,1996,180978.0156828019,1
353,2802,5,1,Urban,1982,243011.57473076603,2
354,2976,5,1,Rural,1954,265075.948204332,0
355,1472,4,2,Suburb,2017,163315.12699992972,1
356,2969,4,3,Rural,1990,384847.049904619,0
357,1150,4,1,Suburb,2010,190479.19894101736,1
358,2438,2,3,Suburb,1973,204129.2143255608,1
359,2321,2,2,Suburb,1976,249930.1176296619,1
360,2634,4,3,Suburb,1978,372750.474809396,1
361,1262,3,3,Rural,2016,189650.20106156013,0
362,2787,3,3,Rural,1986,308299.31208062085,0
363,1143,3,2,Suburb,2002,95784.07401708022,1
364,1345,2,2,Suburb,1951,165456.11841318812,1
365,1623,5,2,Rural,1986,236531.66553606672,0
366,2016,2,3,Suburb,2021,212190.754931357,1
367,2595,4,1,Suburb,2014,298280.3606844734,1
368,1880,5,1,Rural,1997,172765.2509259063,0
369,1001,3,3,Rural,1998,151917.35363762768,0
370,1896,2,1,Rural,1996,196497.06930440952,0
371,2327,2,1,Urban,1953,212603.1701695292,2
372,1253,4,3,Suburb,1952,205827.91372135773,1
373,2675,3,2,Rural,1985,350608.1323068653,0
374,1452,2,1,Suburb,1955,64055.91437875759,1
375,2060,2,2,Urban,1983,202645.46873652583,2
376,2183,5,1,Rural,2001,215636.3058238462,0
377,2014,2,3,Rural,1980,210336.9814886116,0
378,1008,5,3,Suburb,1983,161063.73607289075,1
379,2256,2,2,Suburb,1991,162732.68100454088,1
380,2122,3,2,Rural,1997,283190.3905839381,0
381,2682,4,2,Rural,2005,257018.5571445656,0
382,1815,3,2,Suburb,1967,161315.08881199546,1
383,1207,4,3,Suburb,1963,171344.51259950385,1
384,2154,2,3,Rural,2018,301758.3277786632,0
385,1403,3,3,Urban,2007,186512.3186615685,2
386,1151,5,2,Suburb,2019,147961.73986336417,1
387,1053,4,3,Suburb,2005,96856.0932254072,1
388,2143,4,3,Suburb,2002,241976.24174705177,1
389,2696,2,1,Rural,2018,256546.84581714935,0
390,2943,4,1,Rural,2009,245612.12503446644,0
391,1627,4,1,Rural,1981,192616.91072899688,0
392,1586,4,2,Suburb,1996,234537.6253437164,1
393,2648,2,2,Suburb,1971,266525.8016301305,1
394,2991,3,3,Urban,1953,411274.8172102008,2
395,2443,2,3,Rural,1974,241617.27376623056,0
396,2445,5,2,Rural,2010,230463.81535562876,0
397,1103,4,1,Suburb,1961,249885.94696430844,1
398,2875,4,3,Suburb,1980,320712.17394718895,1
399,1253,3,1,Urban,1950,131536.1635751427,2
400,2250,4,3,Suburb,2010,258681.64856947903,1
401,2135,3,1,Suburb,1955,236721.57971005855,1
402,1509,4,3,Suburb,1971,152417.95938444213,1
403,2496,4,1,Urban,1961,277449.0163566118,2
404,1098,2,1,Urban,1972,97639.64420350434,2
405,1152,2,2,Urban,1984,68864.72803706494,2
406,2884,5,3,Urban,1963,292602.0202390748,2
407,1913,3,1,Urban,1979,163126.63462798466,2
408,2919,5,2,Rural,1971,316117.1565885165,0
409,1877,2,3,Suburb,1965,173591.51575437415,1
410,1337,3,2,Urban,2020,245240.86934782268,2
411,2729,2,1,Urban,1964,299136.08095898724,2
412,1821,3,3,Urban,1951,102620.91177154332,2
413,2186,4,1,Urban,1971,174740.9101274219,2
414,2743,5,1,Suburb,2012,303839.76221234776,1
415,1956,5,2,Suburb,1964,255500.6502956529,1
416,2704,3,1,Rural,1968,305226.1480002337,0
417,1160,5,3,Suburb,1970,174048.9195625192,1
418,2603,2,2,Urban,1976,240369.9407103269,2
419,1800,5,1,Urban,1968,310732.5930169608,2
420,1397,3,1,Urban,1975,125680.08165265153,2
421,2300,5,1,Urban,1998,303253.7531069421,2
422,1815,5,2,Suburb,2007,137931.9765937645,1
423,2939,2,3,Suburb,2016,238181.44457414243,1
424,2527,4,2,Rural,1974,299144.4834011201,0
425,2919,2,1,Suburb,1971,340122.3586828582,1
426,2415,5,2,Urban,1963,230193.1787231853,2
427,2158,5,1,Urban,1958,300494.89658879273,2
428,2218,4,2,Suburb,1971,267560.2687840433,1
429,1400,4,1,Rural,1964,173748.30901295756,0
430,1639,2,2,Rural,1989,198112.8732028993,0
431,2056,4,1,Suburb,2014,237224.42820565245,1
432,1687,2,1,Suburb,2002,130383.649751031,1
433,1459,3,2,Suburb,1980,248587.29005790915,1
434,1954,5,2,Urban,1959,268826.7410314462,2
435,2906,4,1,Suburb,1983,307426.13760987023,1
436,1469,3,3,Suburb,1986,224293.97218700784,1
437,2398,3,1,Rural,1962,335992.3788479656,0
438,2045,2,1,Rural,1987,265649.0843029641,0
439,1749,2,3,Urban,1994,218960.6472310992,2
440,2693,4,1,Rural,1959,257512.558546102,0
441,1037,2,2,Rural,1971,86619.3046619419,0
442,1229,3,2,Suburb,2010,48780.11212797354,1
443,2388,3,3,Rural,1987,274896.26156200573,0
444,1562,5,1,Rural,2007,181237.83172594447,0
445,1437,3,2,Rural,1975,49052.37096077934,0
446,2799,4,1,Rural,1998,182649.2382746536,0
447,2306,5,3,Rural,2011,347942.00526169845,0
448,1026,2,2,Rural,1958,31998.01567703142,0
449,1225,5,3,Rural,2009,181103.2634891242,0
450,2300,3,1,Rural,1979,172216.0833107921,0
451,1797,4,1,Urban,1970,273262.8516738026,2
452,2632,2,1,Suburb,1999,306987.05161477905,1
453,1283,2,3,Rural,1978,172933.77203910236,0
454,1878,3,2,Suburb,1989,159685.44672150235,1
455,1959,4,3,Rural,1966,244916.4657968306,0
456,2504,3,2,Urban,2017,250927.64164111172,2
457,1452,3,1,Rural,2013,86276.33242040729,0
458,2019,4,1,Urban,1972,209029.94857251868,2
459,2852,3,3,Rural,1956,267060.0307693574,0
460,1815,4,2,Rural,1983,158867.81990114367,0
461,1658,4,1,Suburb,1973,200254.7187053508,1
462,2539,3,1,Rural,1956,197039.39492254207,0
463,1546,3,3,Rural,1957,251427.1553830112,0
464,2215,5,3,Urban,1952,298798.8574661124,2
465,2072,2,2,Suburb,1953,209615.3837860778,1
466,2535,2,1,Rural,2012,343628.22962201404,0
467,1016,4,2,Suburb,2015,86742.69815572829,1
468,2195,5,2,Suburb,2018,260504.83069560924,1
469,2243,4,2,Rural,1959,267664.3312110141,0
470,1157,5,3,Rural,2012,87137.890454451,0
471,1476,4,2,Rural,1986,217625.4427144939,0
472,2069,2,2,Rural,2021,179619.68105889083,0
473,2396,5,2,Rural,1952,304272.5427676434,0
474,1517,3,3,Suburb,1978,180446.9392014465,1
475,1098,3,3,Urban,2011,96810.15543797814,2
476,2915,2,1,Suburb,1982,293526.34787643905,1
477,2768,5,3,Rural,2009,333027.9076426232,0
478,2060,3,3,Suburb,1991,261561.33142323635,1
479,1279,3,2,Urban,2011,60826.5300881568,2
480,2372,3,1,Suburb,1955,278442.1634559852,1
481,1496,2,3,Rural,1998,123828.10360692852,0
482,1301,4,1,Rural,2021,88586.0572983957,0
483,1180,3,2,Rural,1992,134443.89746195945,0
484,1606,3,3,Urban,1958,136925.17083144034,2
485,2122,4,2,Rural,2000,234164.8909559664,0
486,1699,3,2,Rural,1963,150304.54943999165,0
487,1992,5,1,Rural,1973,240050.4959834057,0
488,2139,3,3,Rural,2021,277542.7034815458,0
489,1190,4,1,Suburb,1982,197241.25178700703,1
490,1252,2,2,Rural,1978,101805.59807931488,0
491,1980,2,3,Suburb,1951,197810.6222732038,1
492,1927,5,2,Urban,2001,172279.06490573462,2
493,2184,3,1,Suburb,1994,205236.28390756497,1
494,2279,3,1,Suburb,1987,206408.53323173916,1
495,2346,4,2,Suburb,1994,279439.98438546,1
496,1127,4,1,Suburb,1965,127174.72259461066,1
497,1017,5,1,Suburb,1996,127458.03900892238,1
498,2816,5,2,Suburb,1974,356063.8292210288,1
499,2758,3,3,Urban,2006,344787.61939305766,2
500,1565,3,3,Rural,1968,153282.85159103858,0
501,1569,5,3,Urban,1987,23125.99668198565,2
502,2346,2,2,Suburb,2015,297939.72321022314,1
503,2895,2,2,Suburb,1956,348536.6136271412,1
504,1685,2,1,Suburb,1969,145096.73485398138,1
505,2815,2,3,Urban,1953,316533.4621599929,2
506,1625,5,1,Suburb,1964,273166.5599546608,1
507,2311,4,2,Urban,2013,343467.41393072536,2
508,2966,2,3,Suburb,2006,258865.961319416,1
509,1853,5,2,Suburb,1999,197763.06532333908,1
510,2686,2,1,Urban,1966,196431.16181485064,2
511,1961,3,1,Urban,1965,192271.5714413316,2
512,2662,2,2,Urban,1952,252805.98468674356,2
513,1154,5,2,Urban,1994,20075.48609393928,2
514,1489,3,3,Suburb,1993,225167.54229185847,1
515,2409,3,2,Suburb,2011,333108.7015124155,1
516,1784,2,1,Rural,1958,253462.8412249309,0
517,2127,2,1,Suburb,2009,273921.24430261354,1
518,2952,3,2,Suburb,2006,230500.45057300347,1
519,2416,4,2,Suburb,2010,361696.0810396887,1
520,2834,5,3,Suburb,2013,319789.84660978575,1
521,1245,5,1,Suburb,1966,174765.256712796,1
522,2199,5,1,Rural,2007,300718.816645502,0
523,2062,5,1,Urban,1996,261326.85093700883,2
524,2500,5,2,Suburb,2001,363561.9094447919,1
525,2705,3,1,Suburb,1967,251734.5890102333,1
526,1758,5,2,Urban,1986,280965.8950193331,2
527,1537,4,3,Urban,2019,110904.32560798927,2
