,SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,target
79,2451,5,2,Rural,1972,216047.21814963987,224096.1260397619
80,1508,4,1,Urban,1965,149586.15312931265,227166.1971394754
81,1775,4,2,Suburb,1981,214171.08224172727,223234.18985728978
82,2966,3,2,Rural,1956,277419.0001600792,224096.1260397619
83,1034,5,3,Rural,1993,117295.37520060757,224096.1260397619
84,1205,2,1,Urban,1996,180760.867453112,227166.1971394754
85,2104,4,1,Suburb,1954,202715.1601476104,223234.18985728978
86,2955,5,3,Rural,2012,378403.5710107572,224096.1260397619
87,2585,2,1,Suburb,1961,257776.0924243205,223234.18985728978
88,2895,2,2,Suburb,2021,266046.87792908505,223234.18985728978
89,2411,5,1,Rural,1958,337645.67623531295,224096.1260397619
90,2025,5,2,Rural,1993,240145.9702539115,224096.1260397619
91,2021,5,1,Suburb,1971,92641.62211021264,223234.18985728978
92,2413,2,1,Urban,1995,152037.88283583574,227166.1971394754
93,1565,5,3,Rural,1957,149848.61640852437,224096.1260397619
94,2129,4,3,Urban,2005,220384.43445019663,227166.1971394754
95,2795,2,1,Rural,1977,305658.56385268376,224096.1260397619
96,2845,4,2,Urban,1996,318297.25657762005,227166.1971394754
97,2500,4,3,Rural,1984,230749.27633657065,224096.1260397619
98,1702,5,3,Urban,1970,201925.84088885225,227166.1971394754
99,1401,4,3,Suburb,1982,149576.68114338422,223234.18985728978
100,1729,5,1,Rural,2019,171877.06629783398,224096.1260397619
101,2579,2,2,Urban,1997,245276.73391788083,227166.1971394754
102,1161,4,2,Suburb,2003,288571.1271841178,223234.18985728978
103,1201,5,1,Urban,1951,87804.5603712397,227166.1971394754
104,2981,3,2,Rural,1982,267127.0106286388,224096.1260397619
105,1995,5,3,Suburb,1965,221217.76933158597,223234.18985728978
106,1269,3,2,Suburb,1999,218784.63298580731,223234.18985728978
107,2886,5,3,Rural,1969,315607.02376495936,224096.1260397619
108,1815,3,3,Urban,2016,217967.92847377845,227166.1971394754
109,2294,4,1,Rural,1994,353343.63401135267,224096.1260397619
110,1455,3,3,Urban,1984,187002.96390785457,227166.1971394754
111,2485,4,2,Rural,1978,222855.0832963985,224096.1260397619
112,2750,4,2,Rural,1994,366548.8223262025,224096.1260397619
113,2275,5,2,Rural,1964,259473.2793370484,224096.1260397619
114,2016,4,2,Urban,1952,212440.4223945249,227166.1971394754
115,2725,2,2,Urban,2018,237066.6856356926,227166.1971394754
116,1295,3,3,Urban,1983,158357.6480582802,227166.1971394754
117,2748,5,1,Suburb,2020,255619.99775314287,223234.18985728978
118,1719,4,1,Suburb,1953,190659.43496867083,223234.18985728978
119,2772,3,2,Urban,1968,284985.43569363654,227166.1971394754
120,1337,3,3,Urban,1970,214741.228522745,227166.1971394754
121,1878,2,1,Suburb,1964,128693.02879404814,223234.18985728978
122,2076,3,2,Rural,1966,184051.98271688656,224096.1260397619
123,1791,5,3,Rural,2003,242865.26019000952,224096.1260397619
124,2945,5,1,Urban,1986,295356.77549321775,227166.1971394754
125,1216,4,3,Rural,2003,107868.93208831896,224096.1260397619
126,1763,4,2,Urban,1971,207380.13609180792,227166.1971394754
127,1187,5,3,Suburb,1957,132828.81413178446,223234.18985728978
128,1379,3,1,Urban,1960,84493.6913127725,227166.1971394754
129,1492,3,1,Suburb,2019,53360.86540604882,223234.18985728978
130,2064,2,3,Rural,1958,296199.3496255564,224096.1260397619
131,2180,4,1,Urban,1951,273924.557395998,227166.1971394754
132,1014,3,3,Urban,1981,204340.7258965054,227166.1971394754
133,2836,3,3,Urban,2000,228582.09695971967,227166.1971394754
134,1064,4,2,Suburb,1986,237384.3466275038,223234.18985728978
135,2880,5,2,Rural,1955,312245.8679787154,224096.1260397619
136,2862,3,3,Urban,1961,219408.6249604324,227166.1971394754
137,1520,2,1,Rural,2003,201334.94160447217,224096.1260397619
138,2367,3,2,Suburb,1995,221413.5776081872,223234.18985728978
139,2152,3,1,Rural,1982,306839.62194227794,224096.1260397619
140,1647,2,3,Urban,1967,126756.3572316613,227166.1971394754
141,2495,5,1,Urban,1987,328702.8347369156,227166.1971394754
142,2086,2,1,Suburb,2008,141074.02839361285,223234.18985728978
143,2162,2,3,Rural,1956,220712.46134879728,224096.1260397619
144,2522,4,2,Urban,1964,319176.8398973249,227166.1971394754
145,1592,3,2,Suburb,1950,245299.2098929523,223234.18985728978
146,1391,5,1,Rural,1995,51154.13113008726,224096.1260397619
147,2698,3,3,Urban,1981,314018.0283390546,227166.1971394754
148,1418,5,3,Suburb,1998,222904.25800629333,223234.18985728978
149,1288,2,2,Suburb,1959,115697.77821526628,223234.18985728978
150,1378,4,3,Suburb,1966,140714.77037514705,223234.18985728978
151,2796,2,3,Suburb,1969,178353.14814536367,223234.18985728978
152,2513,3,1,Suburb,2000,280022.0311214733,223234.18985728978
153,1230,4,1,Rural,1971,136418.4807787985,224096.1260397619
154,2017,4,2,Urban,1969,195803.9703359068,227166.1971394754
155,1040,3,2,Rural,2014,98933.439065306,224096.1260397619
156,2051,5,1,Suburb,1953,185052.5631740863,223234.18985728978
157,1134,4,3,Urban,2003,160764.43940877952,227166.1971394754
158,1200,5,3,Suburb,2014,156394.27348181067,223234.18985728978
159,2863,5,1,Suburb,2000,333464.1490294491,223234.18985728978
160,1779,5,1,Urban,1960,211994.3281859909,227166.1971394754
161,1929,4,1,Rural,1976,252779.69087222763,224096.1260397619
162,2056,2,1,Urban,1975,288750.4043072761,227166.1971394754
163,2071,4,3,Rural,1966,185482.06063162317,224096.1260397619
164,1502,2,3,Suburb,1991,119671.3689479028,223234.18985728978
165,1406,4,2,Suburb,1997,148891.4193350198,223234.18985728978
166,2597,2,1,Rural,1982,235810.22355681533,224096.1260397619
167,2751,2,2,Suburb,2010,357765.11724448414,223234.18985728978
168,1804,4,3,Rural,1978,216771.35995628755,224096.1260397619
169,1098,5,2,Rural,2012,102580.49836622812,224096.1260397619
170,1683,5,3,Urban,1986,208774.14233121456,227166.1971394754
171,2895,2,3,Suburb,2005,302454.6401474587,223234.18985728978
172,1725,3,2,Urban,1965,208558.78172335384,227166.1971394754
173,2570,3,2,Urban,2005,276434.5399454463,227166.1971394754
174,1960,4,1,Suburb,1991,220786.7119550845,223234.18985728978
175,2762,4,3,Urban,1973,354268.47524739604,227166.1971394754
176,1612,4,1,Suburb,2018,142420.97226095255,223234.18985728978
177,2966,3,1,Suburb,1980,299146.59537507093,223234.18985728978
178,2485,5,3,Urban,1960,321647.4526525699,227166.1971394754
179,1642,4,2,Suburb,1951,216976.90806023663,223234.18985728978
180,2792,4,1,Suburb,2020,243179.70337319985,223234.18985728978
181,2028,5,1,Suburb,1984,184210.77355558556,223234.18985728978
182,2241,2,3,Suburb,2011,175779.56815188617,223234.18985728978
183,1502,4,2,Urban,2003,162271.08640489963,227166.1971394754
184,1766,3,2,Rural,2018,240727.03972085557,224096.1260397619
185,1397,3,1,Urban,2000,186900.94639311853,227166.1971394754
186,1870,4,3,Rural,1958,208692.1497994106,224096.1260397619
187,1794,3,1,Rural,1963,114333.69387419586,224096.1260397619
188,1392,5,2,Rural,2005,225281.32417764855,224096.1260397619
189,1206,2,1,Suburb,1983,110852.45257182162,223234.18985728978
190,2038,2,3,Rural,1950,206119.18171087175,224096.1260397619
191,2881,4,1,Suburb,1987,292218.3734233528,223234.18985728978
192,2577,4,2,Suburb,1966,209166.2973385366,223234.18985728978
193,1891,2,3,Suburb,1965,283220.10867648444,223234.18985728978
194,2484,2,3,Urban,1997,354538.82144245284,227166.1971394754
195,2714,4,3,Rural,1999,290954.49181524914,224096.1260397619
196,2598,3,3,Urban,2020,207377.55545532453,227166.1971394754
197,1863,4,3,Suburb,1990,267934.0925699399,223234.18985728978
198,1742,5,1,Urban,1993,235034.89983819608,227166.1971394754
199,2264,4,3,Suburb,1964,246611.88309182983,223234.18985728978
200,1563,4,2,Urban,2010,314867.65157339314,227166.1971394754
201,2020,4,3,Suburb,1999,278092.75713699666,223234.18985728978
202,1095,4,2,Suburb,2001,88443.38397499491,223234.18985728978
203,2923,4,2,Urban,2001,235396.4544878884,227166.1971394754
204,2757,4,2,Suburb,1985,280503.8129283642,223234.18985728978
205,1484,3,2,Rural,1982,273072.3372618648,224096.1260397619
206,2430,4,2,Urban,1994,252666.84831969367,227166.1971394754
207,1230,2,1,Urban,1951,133914.40680878342,227166.1971394754
208,1748,4,2,Suburb,1950,142717.8302268369,223234.18985728978
209,2678,3,2,Urban,2019,266197.0443802551,227166.1971394754
210,2194,5,2,Rural,1996,245433.69445927496,224096.1260397619
211,1540,2,1,Urban,2013,177796.40298151918,227166.1971394754
212,2059,4,3,Rural,1967,226582.27427106167,224096.1260397619
213,1524,4,2,Urban,2003,170745.4653213651,227166.1971394754
214,2183,2,1,Rural,1984,194059.37069774355,224096.1260397619
215,2862,4,1,Urban,2008,347187.40927735553,227166.1971394754
216,2722,3,1,Rural,1985,345978.9788809702,224096.1260397619
217,2266,4,3,Suburb,1975,323981.5079872238,223234.18985728978
218,2109,5,1,Urban,1994,185909.90163690777,227166.1971394754
219,2819,3,2,Urban,2018,231642.41525201904,227166.1971394754
220,1577,4,2,Rural,1979,181472.0115124785,224096.1260397619
221,1681,5,2,Urban,1982,247683.3818141536,227166.1971394754
222,1556,2,3,Rural,1972,174119.77971258396,224096.1260397619
223,2597,3,1,Suburb,1970,249931.38186463085,223234.18985728978
224,2976,4,2,Rural,2012,352084.04725339817,224096.1260397619
225,2012,4,2,Urban,2019,356256.91027704417,227166.1971394754
226,1645,2,2,Suburb,2017,115738.60239613194,223234.18985728978
227,1795,2,3,Rural,1985,265399.2764300769,224096.1260397619
228,2051,3,2,Rural,1986,205543.4524987724,224096.1260397619
229,2643,3,1,Suburb,1950,248155.87168453963,223234.18985728978
230,2579,3,1,Urban,1975,318796.39679075696,227166.1971394754
231,2363,4,3,Urban,1991,254479.2559878204,227166.1971394754
232,2821,4,3,Urban,1989,248782.21694158544,227166.1971394754
233,2981,3,3,Suburb,2002,320922.1761831169,223234.18985728978
234,2354,4,1,Rural,2011,265274.0039736152,224096.1260397619
235,2663,2,3,Suburb,1993,283301.9362070697,223234.18985728978
236,2529,5,3,Rural,1985,291195.67134809634,224096.1260397619
237,2371,4,1,Suburb,1953,240277.00975870187,223234.18985728978
238,2496,3,2,Rural,1970,316708.5953854667,224096.1260397619
239,2254,4,3,Rural,1966,267724.6993464473,224096.1260397619
240,1189,2,2,Suburb,1965,52033.75929268488,223234.18985728978
241,2248,3,2,Suburb,1990,157260.98352993536,223234.18985728978
242,2408,5,2,Suburb,2004,349887.387165537,223234.18985728978
243,2400,3,2,Rural,2006,302581.5244158059,224096.1260397619
244,2306,3,3,Suburb,2015,267740.4346651604,223234.18985728978
245,2981,3,3,Rural,1987,296942.7544003423,224096.1260397619
246,1632,4,3,Rural,2005,211665.6221785599,224096.1260397619
247,1627,5,1,Suburb,1986,240462.67775685625,223234.18985728978
248,1972,2,1,Urban,1999,221900.77310879892,227166.1971394754
249,2768,4,2,Urban,2004,337510.5084427254,227166.1971394754
250,2282,5,1,Rural,1950,351438.5468115283,224096.1260397619
251,2382,5,2,Rural,2014,207718.7411877128,224096.1260397619
252,1709,4,2,Urban,2014,187379.39012426996,227166.1971394754
253,2479,3,3,Rural,1993,325104.8263530242,224096.1260397619
254,2434,5,3,Urban,1961,234064.51365009736,227166.1971394754
255,1648,2,1,Rural,2002,168976.49535597963,224096.1260397619
256,1317,4,3,Rural,2010,72491.39025921248,224096.1260397619
257,2700,5,1,Suburb,1962,397825.33643637935,223234.18985728978
258,2248,2,3,Urban,1991,224680.0524200836,227166.1971394754
259,2842,2,3,Rural,1995,297609.7185248232,224096.1260397619
260,2257,2,1,Urban,1991,211357.56307458412,227166.1971394754
261,1683,2,2,Suburb,1965,191156.38414084716,223234.18985728978
262,1663,4,1,Urban,1993,198444.2855472129,227166.1971394754
263,2998,2,3,Rural,2019,227602.84522047613,224096.1260397619
264,2850,4,2,Urban,1965,227374.5843014784,227166.1971394754
265,2397,2,3,Suburb,1971,311492.246607957,223234.18985728978
266,2695,2,3,Urban,1984,341035.6518169741,227166.1971394754
267,2631,4,3,Urban,1998,329215.4127322002,227166.1971394754
268,2495,3,2,Urban,2020,189722.8949577994,227166.1971394754
269,2256,5,3,Urban,2013,315304.2483174342,227166.1971394754
270,2715,5,1,Rural,1980,229019.4794959325,224096.1260397619
271,2136,4,1,Urban,1950,218041.2170573715,227166.1971394754
272,2853,2,1,Suburb,1974,256367.864328076,223234.18985728978
273,2520,4,2,Urban,1969,427589.0870411169,227166.1971394754
274,1441,2,1,Suburb,1957,161116.81865195103,223234.18985728978
275,1563,4,3,Suburb,2013,182494.88596722667,223234.18985728978
276,2291,5,2,Suburb,1965,276165.905109651,223234.18985728978
277,2533,4,3,Suburb,2004,314516.6129790323,223234.18985728978
278,2830,5,3,Rural,1975,272012.265169515,224096.1260397619
279,2409,5,3,Urban,2014,342249.54232187086,227166.1971394754
280,2410,5,1,Urban,1977,258023.51102204097,227166.1971394754
281,2136,4,1,Rural,1995,115459.88197304336,224096.1260397619
282,2636,3,2,Urban,2003,240419.9739043436,227166.1971394754
283,2648,4,2,Rural,2003,388951.7892392383,224096.1260397619
284,1951,4,1,Suburb,2021,250119.2128528494,223234.18985728978
285,2104,3,1,Urban,1998,210586.97653456448,227166.1971394754
286,1698,3,3,Suburb,1995,234243.624414166,223234.18985728978
287,1112,5,1,Urban,1950,69293.96649206044,227166.1971394754
288,1001,2,3,Urban,1993,163837.68243703258,227166.1971394754
289,1641,2,1,Urban,1953,252127.9862511156,227166.1971394754
290,1219,5,3,Suburb,1980,117989.35682972187,223234.18985728978
291,2589,4,1,Rural,1964,313948.4453118486,224096.1260397619
292,1854,2,1,Suburb,1950,254919.27518581905,223234.18985728978
293,2759,4,2,Rural,2021,197521.82717092487,224096.1260397619
294,2248,3,2,Urban,1955,198494.040257516,227166.1971394754
295,1384,3,3,Urban,1976,152204.7558913935,227166.1971394754
296,2426,5,2,Urban,1975,308529.3077393932,227166.1971394754
297,2661,4,2,Urban,2015,308854.90099919715,227166.1971394754
298,2153,5,1,Suburb,1962,246860.55002366885,223234.18985728978
299,2076,2,3,Rural,2020,225867.2386279585,224096.1260397619
300,2707,2,2,Rural,1983,249678.22890096117,224096.1260397619
301,1729,2,2,Rural,1982,108636.47522678511,224096.1260397619
302,2695,4,1,Urban,1989,299818.56075223465,227166.1971394754
303,2733,5,1,Suburb,1992,290094.597001723,223234.18985728978
304,2439,5,1,Urban,1956,272077.872708492,227166.1971394754
305,1246,2,3,Rural,1988,130941.48294297824,224096.1260397619
306,1835,5,1,Suburb,2015,241849.2414576917,223234.18985728978
307,2462,3,3,Suburb,1985,206273.30005677108,223234.18985728978
308,1202,3,1,Urban,2013,155086.4598591631,227166.1971394754
309,2207,3,2,Suburb,1953,169742.87033019328,223234.18985728978
310,1122,3,3,Suburb,1971,148324.403196361,223234.18985728978
311,1400,5,1,Suburb,2020,184460.04344561708,223234.18985728978
312,1766,3,1,Urban,1953,138095.4799175649,227166.1971394754
313,1293,3,2,Urban,2013,205414.9104558009,227166.1971394754
314,1279,3,2,Suburb,1971,183265.3989623526,223234.18985728978
315,2860,3,2,Urban,2011,284616.467279546,227166.1971394754
316,1883,3,1,Suburb,1989,181947.6428840441,223234.18985728978
317,2633,4,2,Rural,1969,284003.76941338705,224096.1260397619
318,1197,4,2,Rural,1958,90959.78932620135,224096.1260397619
319,1981,3,3,Suburb,2014,198755.14636608923,223234.18985728978
320,2930,3,3,Rural,1972,370459.8290291032,224096.1260397619
321,2534,5,3,Rural,1984,348379.2664670972,224096.1260397619
322,1751,3,1,Rural,2008,270704.1541412828,224096.1260397619
323,1143,2,3,Suburb,1963,168931.8286047524,223234.18985728978
324,1608,4,1,Urban,1993,189126.05140688832,227166.1971394754
325,2224,3,2,Suburb,1971,218168.70814067312,223234.18985728978
326,2147,4,1,Suburb,1977,199220.1955072361,223234.18985728978
327,1186,3,1,Urban,2008,129960.0168172268,227166.1971394754
328,2349,2,2,Suburb,1996,281507.7449630544,223234.18985728978
329,1463,3,3,Suburb,2017,169378.78481722157,223234.18985728978
330,2372,4,3,Suburb,2019,248599.1076612193,223234.18985728978
331,2794,4,3,Rural,1966,411678.0284271322,224096.1260397619
332,1659,4,2,Suburb,1980,119032.8829834174,223234.18985728978
333,1763,5,1,Suburb,1963,230075.0498156624,223234.18985728978
334,1954,4,2,Urban,1998,122604.95616584706,227166.1971394754
335,2955,3,2,Rural,2016,296998.838109315,224096.1260397619
336,1402,2,2,Rural,1970,109470.14273140584,224096.1260397619
337,2369,2,2,Suburb,1962,246212.1973150715,223234.18985728978
338,2986,3,1,Rural,1999,310583.0758590737,224096.1260397619
339,2534,5,3,Rural,2017,233756.8863821809,224096.1260397619
340,1146,3,3,Urban,1961,100102.22524595106,227166.1971394754
341,2171,4,2,Urban,1997,199324.84069986545,227166.1971394754
342,1863,5,1,Rural,2013,331026.59636098804,224096.1260397619
343,2734,3,2,Urban,1964,231041.34837459872,227166.1971394754
344,2843,5,1,Suburb,1965,333530.0633743215,223234.18985728978
345,1488,2,2,Urban,2021,61092.661234490224,227166.1971394754
346,1928,3,3,Suburb,1999,205778.3124412656,223234.18985728978
347,2959,3,3,Urban,1990,384570.7364514372,227166.1971394754
348,2663,2,2,Rural,1953,339772.9527372086,224096.1260397619
349,1550,5,3,Suburb,1969,186745.12964093967,223234.18985728978
350,1337,2,2,Urban,1957,185559.0801900139,227166.1971394754
351,1871,5,1,Urban,2017,213894.31463154923,227166.1971394754
352,1640,3,1,Suburb,1996,180978.0156828019,223234.18985728978
353,2802,5,1,Urban,1982,243011.57473076603,227166.1971394754
354,2976,5,1,Rural,1954,265075.948204332,224096.1260397619
355,1472,4,2,Suburb,2017,163315.12699992972,223234.18985728978
356,2969,4,3,Rural,1990,384847.049904619,224096.1260397619
357,1150,4,1,Suburb,2010,190479.19894101736,223234.18985728978
358,2438,2,3,Suburb,1973,204129.2143255608,223234.18985728978
359,2321,2,2,Suburb,1976,249930.1176296619,223234.18985728978
360,2634,4,3,Suburb,1978,372750.474809396,223234.18985728978
361,1262,3,3,Rural,2016,189650.20106156013,224096.1260397619
362,2787,3,3,Rural,1986,308299.31208062085,224096.1260397619
363,1143,3,2,Suburb,2002,95784.07401708022,223234.18985728978
364,1345,2,2,Suburb,1951,165456.11841318812,223234.18985728978
365,1623,5,2,Rural,1986,236531.66553606672,224096.1260397619
366,2016,2,3,Suburb,2021,212190.754931357,223234.18985728978
367,2595,4,1,Suburb,2014,298280.3606844734,223234.18985728978
368,1880,5,1,Rural,1997,172765.2509259063,224096.1260397619
369,1001,3,3,Rural,1998,151917.35363762768,224096.1260397619
370,1896,2,1,Rural,1996,196497.06930440952,224096.1260397619
371,2327,2,1,Urban,1953,212603.1701695292,227166.1971394754
372,1253,4,3,Suburb,1952,205827.91372135773,223234.18985728978
373,2675,3,2,Rural,1985,350608.1323068653,224096.1260397619
374,1452,2,1,Suburb,1955,64055.91437875759,223234.18985728978
375,2060,2,2,Urban,1983,202645.46873652583,227166.1971394754
376,2183,5,1,Rural,2001,215636.3058238462,224096.1260397619
377,2014,2,3,Rural,1980,210336.9814886116,224096.1260397619
378,1008,5,3,Suburb,1983,161063.73607289075,223234.18985728978
379,2256,2,2,Suburb,1991,162732.68100454088,223234.18985728978
380,2122,3,2,Rural,1997,283190.3905839381,224096.1260397619
381,2682,4,2,Rural,2005,257018.5571445656,224096.1260397619
382,1815,3,2,Suburb,1967,161315.08881199546,223234.18985728978
383,1207,4,3,Suburb,1963,171344.51259950385,223234.18985728978
384,2154,2,3,Rural,2018,301758.3277786632,224096.1260397619
385,1403,3,3,Urban,2007,186512.3186615685,227166.1971394754
386,1151,5,2,Suburb,2019,147961.73986336417,223234.18985728978
387,1053,4,3,Suburb,2005,96856.0932254072,223234.18985728978
388,2143,4,3,Suburb,2002,241976.24174705177,223234.18985728978
389,2696,2,1,Rural,2018,256546.84581714935,224096.1260397619
390,2943,4,1,Rural,2009,245612.12503446644,224096.1260397619
391,1627,4,1,Rural,1981,192616.91072899688,224096.1260397619
392,1586,4,2,Suburb,1996,234537.6253437164,223234.18985728978
393,2648,2,2,Suburb,1971,266525.8016301305,223234.18985728978
394,2991,3,3,Urban,1953,411274.8172102008,227166.1971394754
395,2443,2,3,Rural,1974,241617.27376623056,224096.1260397619
396,2445,5,2,Rural,2010,230463.81535562876,224096.1260397619
397,1103,4,1,Suburb,1961,249885.94696430844,223234.18985728978
398,2875,4,3,Suburb,1980,320712.17394718895,223234.18985728978
399,1253,3,1,Urban,1950,131536.1635751427,227166.1971394754
400,2250,4,3,Suburb,2010,258681.64856947903,223234.18985728978
401,2135,3,1,Suburb,1955,236721.57971005855,223234.18985728978
402,1509,4,3,Suburb,1971,152417.95938444213,223234.18985728978
403,2496,4,1,Urban,1961,277449.0163566118,227166.1971394754
404,1098,2,1,Urban,1972,97639.64420350434,227166.1971394754
405,1152,2,2,Urban,1984,68864.72803706494,227166.1971394754
406,2884,5,3,Urban,1963,292602.0202390748,227166.1971394754
407,1913,3,1,Urban,1979,163126.63462798466,227166.1971394754
408,2919,5,2,Rural,1971,316117.1565885165,224096.1260397619
409,1877,2,3,Suburb,1965,173591.51575437415,223234.18985728978
410,1337,3,2,Urban,2020,245240.86934782268,227166.1971394754
411,2729,2,1,Urban,1964,299136.08095898724,227166.1971394754
412,1821,3,3,Urban,1951,102620.91177154332,227166.1971394754
413,2186,4,1,Urban,1971,174740.9101274219,227166.1971394754
414,2743,5,1,Suburb,2012,303839.76221234776,223234.18985728978
415,1956,5,2,Suburb,1964,255500.6502956529,223234.18985728978
416,2704,3,1,Rural,1968,305226.1480002337,224096.1260397619
417,1160,5,3,Suburb,1970,174048.9195625192,223234.18985728978
418,2603,2,2,Urban,1976,240369.9407103269,227166.1971394754
419,1800,5,1,Urban,1968,310732.5930169608,227166.1971394754
420,1397,3,1,Urban,1975,125680.08165265153,227166.1971394754
421,2300,5,1,Urban,1998,303253.7531069421,227166.1971394754
422,1815,5,2,Suburb,2007,137931.9765937645,223234.18985728978
423,2939,2,3,Suburb,2016,238181.44457414243,223234.18985728978
424,2527,4,2,Rural,1974,299144.4834011201,224096.1260397619
425,2919,2,1,Suburb,1971,340122.3586828582,223234.18985728978
426,2415,5,2,Urban,1963,230193.1787231853,227166.1971394754
427,2158,5,1,Urban,1958,300494.89658879273,227166.1971394754
428,2218,4,2,Suburb,1971,267560.2687840433,223234.18985728978
429,1400,4,1,Rural,1964,173748.30901295756,224096.1260397619
