,SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,Rural,Suburb,Urban
60,1646,4,3,Suburb,1994,91423.61964633202,0,1,0
61,1020,5,1,Rural,1983,220053.8603574218,1,0,0
62,1840,5,3,Suburb,1961,216148.20845399628,0,1,0
63,1166,2,2,Suburb,1972,161587.15372788318,0,1,0
64,2297,2,2,Urban,2017,194967.9094711132,0,0,1
65,1387,3,1,Rural,2002,152828.720291152,1,0,0
66,1600,4,2,Rural,2002,256725.9809436184,1,0,0
67,1315,5,2,Suburb,1989,98039.30310069738,0,1,0
68,1013,4,3,Urban,2002,164858.18694892063,0,0,1
69,1241,3,2,Urban,1985,199373.18209909197,0,0,1
70,1776,4,2,Urban,2014,181245.4467436535,0,0,1
71,2369,5,1,Suburb,1963,209700.7184829428,0,1,0
72,1564,2,2,Rural,1983,163053.3920501942,1,0,0
73,1897,4,2,Rural,1975,304004.68986597785,1,0,0
74,2363,5,3,Urban,2004,308830.9396512381,0,0,1
75,1091,3,3,Urban,2012,194294.00184175,0,0,1
76,2390,5,3,Urban,2019,172777.3198326151,0,0,1
77,1955,4,1,Suburb,1995,197656.07026552537,0,1,0
78,2478,5,3,Urban,1986,273365.49912049377,0,0,1
79,2451,5,2,Rural,1972,216047.21814963987,1,0,0
80,1508,4,1,Urban,1965,149586.15312931265,0,0,1
81,1775,4,2,Suburb,1981,214171.08224172727,0,1,0
82,2966,3,2,Rural,1956,277419.0001600792,1,0,0
83,1034,5,3,Rural,1993,117295.37520060757,1,0,0
84,1205,2,1,Urban,1996,180760.867453112,0,0,1
85,2104,4,1,Suburb,1954,202715.1601476104,0,1,0
86,2955,5,3,Rural,2012,378403.5710107572,1,0,0
87,2585,2,1,Suburb,1961,257776.0924243205,0,1,0
88,2895,2,2,Suburb,2021,266046.87792908505,0,1,0
89,2411,5,1,Rural,1958,337645.67623531295,1,0,0
90,2025,5,2,Rural,1993,240145.9702539115,1,0,0
91,2021,5,1,Suburb,1971,92641.62211021264,0,1,0
92,2413,2,1,Urban,1995,152037.88283583574,0,0,1
93,1565,5,3,Rural,1957,149848.61640852437,1,0,0
94,2129,4,3,Urban,2005,220384.43445019663,0,0,1
95,2795,2,1,Rural,1977,305658.56385268376,1,0,0
96,2845,4,2,Urban,1996,318297.25657762005,0,0,1
97,2500,4,3,Rural,1984,230749.27633657065,1,0,0
98,1702,5,3,Urban,1970,201925.84088885225,0,0,1
99,1401,4,3,Suburb,1982,149576.68114338422,0,1,0
100,1729,5,1,Rural,2019,171877.06629783398,1,0,0
101,2579,2,2,Urban,1997,245276.73391788083,0,0,1
102,1161,4,2,Suburb,2003,288571.1271841178,0,1,0
103,1201,5,1,Urban,1951,87804.5603712397,0,0,1
104,2981,3,2,Rural,1982,267127.0106286388,1,0,0
105,1995,5,3,Suburb,1965,221217.76933158597,0,1,0
106,1269,3,2,Suburb,1999,218784.63298580731,0,1,0
107,2886,5,3,Rural,1969,315607.02376495936,1,0,0
108,1815,3,3,Urban,2016,217967.92847377845,0,0,1
109,2294,4,1,Rural,1994,353343.63401135267,1,0,0
110,1455,3,3,Urban,1984,187002.96390785457,0,0,1
111,2485,4,2,Rural,1978,222855.0832963985,1,0,0
112,2750,4,2,Rural,1994,366548.8223262025,1,0,0
113,2275,5,2,Rural,1964,259473.2793370484,1,0,0
114,2016,4,2,Urban,1952,212440.4223945249,0,0,1
115,2725,2,2,Urban,2018,237066.6856356926,0,0,1
116,1295,3,3,Urban,1983,158357.6480582802,0,0,1
117,2748,5,1,Suburb,2020,255619.99775314287,0,1,0
118,1719,4,1,Suburb,1953,190659.43496867083,0,1,0
119,2772,3,2,Urban,1968,284985.43569363654,0,0,1
120,1337,3,3,Urban,1970,214741.228522745,0,0,1
121,1878,2,1,Suburb,1964,128693.02879404814,0,1,0
122,2076,3,2,Rural,1966,184051.98271688656,1,0,0
123,1791,5,3,Rural,2003,242865.26019000952,1,0,0
124,2945,5,1,Urban,1986,295356.77549321775,0,0,1
125,1216,4,3,Rural,2003,107868.93208831896,1,0,0
126,1763,4,2,Urban,1971,207380.13609180792,0,0,1
127,1187,5,3,Suburb,1957,132828.81413178446,0,1,0
128,1379,3,1,Urban,1960,84493.6913127725,0,0,1
129,1492,3,1,Suburb,2019,53360.86540604882,0,1,0
130,2064,2,3,Rural,1958,296199.3496255564,1,0,0
131,2180,4,1,Urban,1951,273924.557395998,0,0,1
132,1014,3,3,Urban,1981,204340.7258965054,0,0,1
133,2836,3,3,Urban,2000,228582.09695971967,0,0,1
134,1064,4,2,Suburb,1986,237384.3466275038,0,1,0
135,2880,5,2,Rural,1955,312245.8679787154,1,0,0
136,2862,3,3,Urban,1961,219408.6249604324,0,0,1
137,1520,2,1,Rural,2003,201334.94160447217,1,0,0
138,2367,3,2,Suburb,1995,221413.5776081872,0,1,0
139,2152,3,1,Rural,1982,306839.62194227794,1,0,0
140,1647,2,3,Urban,1967,126756.3572316613,0,0,1
141,2495,5,1,Urban,1987,328702.8347369156,0,0,1
142,2086,2,1,Suburb,2008,141074.02839361285,0,1,0
143,2162,2,3,Rural,1956,220712.46134879728,1,0,0
144,2522,4,2,Urban,1964,319176.8398973249,0,0,1
145,1592,3,2,Suburb,1950,245299.2098929523,0,1,0
146,1391,5,1,Rural,1995,51154.13113008726,1,0,0
147,2698,3,3,Urban,1981,314018.0283390546,0,0,1
148,1418,5,3,Suburb,1998,222904.25800629333,0,1,0
149,1288,2,2,Suburb,1959,115697.77821526628,0,1,0
150,1378,4,3,Suburb,1966,140714.77037514705,0,1,0
151,2796,2,3,Suburb,1969,178353.14814536367,0,1,0
152,2513,3,1,Suburb,2000,280022.0311214733,0,1,0
153,1230,4,1,Rural,1971,136418.4807787985,1,0,0
154,2017,4,2,Urban,1969,195803.9703359068,0,0,1
155,1040,3,2,Rural,2014,98933.439065306,1,0,0
156,2051,5,1,Suburb,1953,185052.5631740863,0,1,0
157,1134,4,3,Urban,2003,160764.43940877952,0,0,1
158,1200,5,3,Suburb,2014,156394.27348181067,0,1,0
159,2863,5,1,Suburb,2000,333464.1490294491,0,1,0
160,1779,5,1,Urban,1960,211994.3281859909,0,0,1
161,1929,4,1,Rural,1976,252779.69087222763,1,0,0
162,2056,2,1,Urban,1975,288750.4043072761,0,0,1
163,2071,4,3,Rural,1966,185482.06063162317,1,0,0
164,1502,2,3,Suburb,1991,119671.3689479028,0,1,0
165,1406,4,2,Suburb,1997,148891.4193350198,0,1,0
166,2597,2,1,Rural,1982,235810.22355681533,1,0,0
167,2751,2,2,Suburb,2010,357765.11724448414,0,1,0
168,1804,4,3,Rural,1978,216771.35995628755,1,0,0
169,1098,5,2,Rural,2012,102580.49836622812,1,0,0
170,1683,5,3,Urban,1986,208774.14233121456,0,0,1
171,2895,2,3,Suburb,2005,302454.6401474587,0,1,0
172,1725,3,2,Urban,1965,208558.78172335384,0,0,1
173,2570,3,2,Urban,2005,276434.5399454463,0,0,1
174,1960,4,1,Suburb,1991,220786.7119550845,0,1,0
175,2762,4,3,Urban,1973,354268.47524739604,0,0,1
176,1612,4,1,Suburb,2018,142420.97226095255,0,1,0
177,2966,3,1,Suburb,1980,299146.59537507093,0,1,0
178,2485,5,3,Urban,1960,321647.4526525699,0,0,1
179,1642,4,2,Suburb,1951,216976.90806023663,0,1,0
180,2792,4,1,Suburb,2020,243179.70337319985,0,1,0
181,2028,5,1,Suburb,1984,184210.77355558556,0,1,0
182,2241,2,3,Suburb,2011,175779.56815188617,0,1,0
183,1502,4,2,Urban,2003,162271.08640489963,0,0,1
184,1766,3,2,Rural,2018,240727.03972085557,1,0,0
185,1397,3,1,Urban,2000,186900.94639311853,0,0,1
186,1870,4,3,Rural,1958,208692.1497994106,1,0,0
187,1794,3,1,Rural,1963,114333.69387419586,1,0,0
188,1392,5,2,Rural,2005,225281.32417764855,1,0,0
189,1206,2,1,Suburb,1983,110852.45257182162,0,1,0
190,2038,2,3,Rural,1950,206119.18171087175,1,0,0
191,2881,4,1,Suburb,1987,292218.3734233528,0,1,0
192,2577,4,2,Suburb,1966,209166.2973385366,0,1,0
193,1891,2,3,Suburb,1965,283220.10867648444,0,1,0
194,2484,2,3,Urban,1997,354538.82144245284,0,0,1
195,2714,4,3,Rural,1999,290954.49181524914,1,0,0
196,2598,3,3,Urban,2020,207377.55545532453,0,0,1
197,1863,4,3,Suburb,1990,267934.0925699399,0,1,0
198,1742,5,1,Urban,1993,235034.89983819608,0,0,1
199,2264,4,3,Suburb,1964,246611.88309182983,0,1,0
200,1563,4,2,Urban,2010,314867.65157339314,0,0,1
201,2020,4,3,Suburb,1999,278092.75713699666,0,1,0
202,1095,4,2,Suburb,2001,88443.38397499491,0,1,0
203,2923,4,2,Urban,2001,235396.4544878884,0,0,1
204,2757,4,2,Suburb,1985,280503.8129283642,0,1,0
205,1484,3,2,Rural,1982,273072.3372618648,1,0,0
206,2430,4,2,Urban,1994,252666.84831969367,0,0,1
207,1230,2,1,Urban,1951,133914.40680878342,0,0,1
208,1748,4,2,Suburb,1950,142717.8302268369,0,1,0
209,2678,3,2,Urban,2019,266197.0443802551,0,0,1
210,2194,5,2,Rural,1996,245433.69445927496,1,0,0
211,1540,2,1,Urban,2013,177796.40298151918,0,0,1
212,2059,4,3,Rural,1967,226582.27427106167,1,0,0
213,1524,4,2,Urban,2003,170745.4653213651,0,0,1
214,2183,2,1,Rural,1984,194059.37069774355,1,0,0
215,2862,4,1,Urban,2008,347187.40927735553,0,0,1
216,2722,3,1,Rural,1985,345978.9788809702,1,0,0
217,2266,4,3,Suburb,1975,323981.5079872238,0,1,0
218,2109,5,1,Urban,1994,185909.90163690777,0,0,1
219,2819,3,2,Urban,2018,231642.41525201904,0,0,1
220,1577,4,2,Rural,1979,181472.0115124785,1,0,0
221,1681,5,2,Urban,1982,247683.3818141536,0,0,1
222,1556,2,3,Rural,1972,174119.77971258396,1,0,0
223,2597,3,1,Suburb,1970,249931.38186463085,0,1,0
224,2976,4,2,Rural,2012,352084.04725339817,1,0,0
225,2012,4,2,Urban,2019,356256.91027704417,0,0,1
226,1645,2,2,Suburb,2017,115738.60239613194,0,1,0
227,1795,2,3,Rural,1985,265399.2764300769,1,0,0
228,2051,3,2,Rural,1986,205543.4524987724,1,0,0
229,2643,3,1,Suburb,1950,248155.87168453963,0,1,0
230,2579,3,1,Urban,1975,318796.39679075696,0,0,1
231,2363,4,3,Urban,1991,254479.2559878204,0,0,1
232,2821,4,3,Urban,1989,248782.21694158544,0,0,1
233,2981,3,3,Suburb,2002,320922.1761831169,0,1,0
234,2354,4,1,Rural,2011,265274.0039736152,1,0,0
235,2663,2,3,Suburb,1993,283301.9362070697,0,1,0
236,2529,5,3,Rural,1985,291195.67134809634,1,0,0
237,2371,4,1,Suburb,1953,240277.00975870187,0,1,0
238,2496,3,2,Rural,1970,316708.5953854667,1,0,0
239,2254,4,3,Rural,1966,267724.6993464473,1,0,0
240,1189,2,2,Suburb,1965,52033.75929268488,0,1,0
241,2248,3,2,Suburb,1990,157260.98352993536,0,1,0
242,2408,5,2,Suburb,2004,349887.387165537,0,1,0
243,2400,3,2,Rural,2006,302581.5244158059,1,0,0
244,2306,3,3,Suburb,2015,267740.4346651604,0,1,0
245,2981,3,3,Rural,1987,296942.7544003423,1,0,0
246,1632,4,3,Rural,2005,211665.6221785599,1,0,0
247,1627,5,1,Suburb,1986,240462.67775685625,0,1,0
248,1972,2,1,Urban,1999,221900.77310879892,0,0,1
249,2768,4,2,Urban,2004,337510.5084427254,0,0,1
250,2282,5,1,Rural,1950,351438.5468115283,1,0,0
251,2382,5,2,Rural,2014,207718.7411877128,1,0,0
252,1709,4,2,Urban,2014,187379.39012426996,0,0,1
253,2479,3,3,Rural,1993,325104.8263530242,1,0,0
254,2434,5,3,Urban,1961,234064.51365009736,0,0,1
255,1648,2,1,Rural,2002,168976.49535597963,1,0,0
256,1317,4,3,Rural,2010,72491.39025921248,1,0,0
257,2700,5,1,Suburb,1962,397825.33643637935,0,1,0
258,2248,2,3,Urban,1991,224680.0524200836,0,0,1
259,2842,2,3,Rural,1995,297609.7185248232,1,0,0
260,2257,2,1,Urban,1991,211357.56307458412,0,0,1
261,1683,2,2,Suburb,1965,191156.38414084716,0,1,0
262,1663,4,1,Urban,1993,198444.2855472129,0,0,1
263,2998,2,3,Rural,2019,227602.84522047613,1,0,0
264,2850,4,2,Urban,1965,227374.5843014784,0,0,1
265,2397,2,3,Suburb,1971,311492.246607957,0,1,0
266,2695,2,3,Urban,1984,341035.6518169741,0,0,1
267,2631,4,3,Urban,1998,329215.4127322002,0,0,1
268,2495,3,2,Urban,2020,189722.8949577994,0,0,1
269,2256,5,3,Urban,2013,315304.2483174342,0,0,1
270,2715,5,1,Rural,1980,229019.4794959325,1,0,0
271,2136,4,1,Urban,1950,218041.2170573715,0,0,1
272,2853,2,1,Suburb,1974,256367.864328076,0,1,0
273,2520,4,2,Urban,1969,427589.0870411169,0,0,1
274,1441,2,1,Suburb,1957,161116.81865195103,0,1,0
275,1563,4,3,Suburb,2013,182494.88596722667,0,1,0
276,2291,5,2,Suburb,1965,276165.905109651,0,1,0
277,2533,4,3,Suburb,2004,314516.6129790323,0,1,0
278,2830,5,3,Rural,1975,272012.265169515,1,0,0
279,2409,5,3,Urban,2014,342249.54232187086,0,0,1
280,2410,5,1,Urban,1977,258023.51102204097,0,0,1
281,2136,4,1,Rural,1995,115459.88197304336,1,0,0
282,2636,3,2,Urban,2003,240419.9739043436,0,0,1
283,2648,4,2,Rural,2003,388951.7892392383,1,0,0
284,1951,4,1,Suburb,2021,250119.2128528494,0,1,0
285,2104,3,1,Urban,1998,210586.97653456448,0,0,1
286,1698,3,3,Suburb,1995,234243.624414166,0,1,0
287,1112,5,1,Urban,1950,69293.96649206044,0,0,1
288,1001,2,3,Urban,1993,163837.68243703258,0,0,1
289,1641,2,1,Urban,1953,252127.9862511156,0,0,1
290,1219,5,3,Suburb,1980,117989.35682972187,0,1,0
291,2589,4,1,Rural,1964,313948.4453118486,1,0,0
292,1854,2,1,Suburb,1950,254919.27518581905,0,1,0
293,2759,4,2,Rural,2021,197521.82717092487,1,0,0
294,2248,3,2,Urban,1955,198494.040257516,0,0,1
295,1384,3,3,Urban,1976,152204.7558913935,0,0,1
296,2426,5,2,Urban,1975,308529.3077393932,0,0,1
297,2661,4,2,Urban,2015,308854.90099919715,0,0,1
298,2153,5,1,Suburb,1962,246860.55002366885,0,1,0
299,2076,2,3,Rural,2020,225867.2386279585,1,0,0
300,2707,2,2,Rural,1983,249678.22890096117,1,0,0
301,1729,2,2,Rural,1982,108636.47522678511,1,0,0
302,2695,4,1,Urban,1989,299818.56075223465,0,0,1
303,2733,5,1,Suburb,1992,290094.597001723,0,1,0
304,2439,5,1,Urban,1956,272077.872708492,0,0,1
305,1246,2,3,Rural,1988,130941.48294297824,1,0,0
306,1835,5,1,Suburb,2015,241849.2414576917,0,1,0
307,2462,3,3,Suburb,1985,206273.30005677108,0,1,0
308,1202,3,1,Urban,2013,155086.4598591631,0,0,1
309,2207,3,2,Suburb,1953,169742.87033019328,0,1,0
310,1122,3,3,Suburb,1971,148324.403196361,0,1,0
311,1400,5,1,Suburb,2020,184460.04344561708,0,1,0
312,1766,3,1,Urban,1953,138095.4799175649,0,0,1
313,1293,3,2,Urban,2013,205414.9104558009,0,0,1
314,1279,3,2,Suburb,1971,183265.3989623526,0,1,0
315,2860,3,2,Urban,2011,284616.467279546,0,0,1
316,1883,3,1,Suburb,1989,181947.6428840441,0,1,0
317,2633,4,2,Rural,1969,284003.76941338705,1,0,0
318,1197,4,2,Rural,1958,90959.78932620135,1,0,0
319,1981,3,3,Suburb,2014,198755.14636608923,0,1,0
320,2930,3,3,Rural,1972,370459.8290291032,1,0,0
321,2534,5,3,Rural,1984,348379.2664670972,1,0,0
322,1751,3,1,Rural,2008,270704.1541412828,1,0,0
323,1143,2,3,Suburb,1963,168931.8286047524,0,1,0
324,1608,4,1,Urban,1993,189126.05140688832,0,0,1
325,2224,3,2,Suburb,1971,218168.70814067312,0,1,0
326,2147,4,1,Suburb,1977,199220.1955072361,0,1,0
327,1186,3,1,Urban,2008,129960.0168172268,0,0,1
328,2349,2,2,Suburb,1996,281507.7449630544,0,1,0
329,1463,3,3,Suburb,2017,169378.78481722157,0,1,0
330,2372,4,3,Suburb,2019,248599.1076612193,0,1,0
331,2794,4,3,Rural,1966,411678.0284271322,1,0,0
332,1659,4,2,Suburb,1980,119032.8829834174,0,1,0
333,1763,5,1,Suburb,1963,230075.0498156624,0,1,0
334,1954,4,2,Urban,1998,122604.95616584706,0,0,1
335,2955,3,2,Rural,2016,296998.838109315,1,0,0
336,1402,2,2,Rural,1970,109470.14273140584,1,0,0
337,2369,2,2,Suburb,1962,246212.1973150715,0,1,0
338,2986,3,1,Rural,1999,310583.0758590737,1,0,0
339,2534,5,3,Rural,2017,233756.8863821809,1,0,0
340,1146,3,3,Urban,1961,100102.22524595106,0,0,1
341,2171,4,2,Urban,1997,199324.84069986545,0,0,1
342,1863,5,1,Rural,2013,331026.59636098804,1,0,0
343,2734,3,2,Urban,1964,231041.34837459872,0,0,1
344,2843,5,1,Suburb,1965,333530.0633743215,0,1,0
345,1488,2,2,Urban,2021,61092.661234490224,0,0,1
346,1928,3,3,Suburb,1999,205778.3124412656,0,1,0
347,2959,3,3,Urban,1990,384570.7364514372,0,0,1
348,2663,2,2,Rural,1953,339772.9527372086,1,0,0
349,1550,5,3,Suburb,1969,186745.12964093967,0,1,0
350,1337,2,2,Urban,1957,185559.0801900139,0,0,1
351,1871,5,1,Urban,2017,213894.31463154923,0,0,1
352,1640,3,1,Suburb,1996,180978.0156828019,0,1,0
353,2802,5,1,Urban,1982,243011.57473076603,0,0,1
354,2976,5,1,Rural,1954,265075.948204332,1,0,0
355,1472,4,2,Suburb,2017,163315.12699992972,0,1,0
356,2969,4,3,Rural,1990,384847.049904619,1,0,0
357,1150,4,1,Suburb,2010,190479.19894101736,0,1,0
358,2438,2,3,Suburb,1973,204129.2143255608,0,1,0
359,2321,2,2,Suburb,1976,249930.1176296619,0,1,0
360,2634,4,3,Suburb,1978,372750.474809396,0,1,0
361,1262,3,3,Rural,2016,189650.20106156013,1,0,0
362,2787,3,3,Rural,1986,308299.31208062085,1,0,0
363,1143,3,2,Suburb,2002,95784.07401708022,0,1,0
364,1345,2,2,Suburb,1951,165456.11841318812,0,1,0
365,1623,5,2,Rural,1986,236531.66553606672,1,0,0
366,2016,2,3,Suburb,2021,212190.754931357,0,1,0
367,2595,4,1,Suburb,2014,298280.3606844734,0,1,0
368,1880,5,1,Rural,1997,172765.2509259063,1,0,0
369,1001,3,3,Rural,1998,151917.35363762768,1,0,0
370,1896,2,1,Rural,1996,196497.06930440952,1,0,0
371,2327,2,1,Urban,1953,212603.1701695292,0,0,1
372,1253,4,3,Suburb,1952,205827.91372135773,0,1,0
373,2675,3,2,Rural,1985,350608.1323068653,1,0,0
374,1452,2,1,Suburb,1955,64055.91437875759,0,1,0
375,2060,2,2,Urban,1983,202645.46873652583,0,0,1
376,2183,5,1,Rural,2001,215636.3058238462,1,0,0
377,2014,2,3,Rural,1980,210336.9814886116,1,0,0
378,1008,5,3,Suburb,1983,161063.73607289075,0,1,0
379,2256,2,2,Suburb,1991,162732.68100454088,0,1,0
380,2122,3,2,Rural,1997,283190.3905839381,1,0,0
381,2682,4,2,Rural,2005,257018.5571445656,1,0,0
382,1815,3,2,Suburb,1967,161315.08881199546,0,1,0
383,1207,4,3,Suburb,1963,171344.51259950385,0,1,0
384,2154,2,3,Rural,2018,301758.3277786632,1,0,0
385,1403,3,3,Urban,2007,186512.3186615685,0,0,1
386,1151,5,2,Suburb,2019,147961.73986336417,0,1,0
387,1053,4,3,Suburb,2005,96856.0932254072,0,1,0
388,2143,4,3,Suburb,2002,241976.24174705177,0,1,0
389,2696,2,1,Rural,2018,256546.84581714935,1,0,0
390,2943,4,1,Rural,2009,245612.12503446644,1,0,0
391,1627,4,1,Rural,1981,192616.91072899688,1,0,0
392,1586,4,2,Suburb,1996,234537.6253437164,0,1,0
393,2648,2,2,Suburb,1971,266525.8016301305,0,1,0
394,2991,3,3,Urban,1953,411274.8172102008,0,0,1
395,2443,2,3,Rural,1974,241617.27376623056,1,0,0
396,2445,5,2,Rural,2010,230463.81535562876,1,0,0
397,1103,4,1,Suburb,1961,249885.94696430844,0,1,0
398,2875,4,3,Suburb,1980,320712.17394718895,0,1,0
399,1253,3,1,Urban,1950,131536.1635751427,0,0,1
400,2250,4,3,Suburb,2010,258681.64856947903,0,1,0
401,2135,3,1,Suburb,1955,236721.57971005855,0,1,0
402,1509,4,3,Suburb,1971,152417.95938444213,0,1,0
403,2496,4,1,Urban,1961,277449.0163566118,0,0,1
404,1098,2,1,Urban,1972,97639.64420350434,0,0,1
405,1152,2,2,Urban,1984,68864.72803706494,0,0,1
406,2884,5,3,Urban,1963,292602.0202390748,0,0,1
407,1913,3,1,Urban,1979,163126.63462798466,0,0,1
408,2919,5,2,Rural,1971,316117.1565885165,1,0,0
409,1877,2,3,Suburb,1965,173591.51575437415,0,1,0
410,1337,3,2,Urban,2020,245240.86934782268,0,0,1
411,2729,2,1,Urban,1964,299136.08095898724,0,0,1
412,1821,3,3,Urban,1951,102620.91177154332,0,0,1
413,2186,4,1,Urban,1971,174740.9101274219,0,0,1
414,2743,5,1,Suburb,2012,303839.76221234776,0,1,0
415,1956,5,2,Suburb,1964,255500.6502956529,0,1,0
416,2704,3,1,Rural,1968,305226.1480002337,1,0,0
417,1160,5,3,Suburb,1970,174048.9195625192,0,1,0
418,2603,2,2,Urban,1976,240369.9407103269,0,0,1
419,1800,5,1,Urban,1968,310732.5930169608,0,0,1
420,1397,3,1,Urban,1975,125680.08165265153,0,0,1
421,2300,5,1,Urban,1998,303253.7531069421,0,0,1
422,1815,5,2,Suburb,2007,137931.9765937645,0,1,0
423,2939,2,3,Suburb,2016,238181.44457414243,0,1,0
424,2527,4,2,Rural,1974,299144.4834011201,1,0,0
425,2919,2,1,Suburb,1971,340122.3586828582,0,1,0
426,2415,5,2,Urban,1963,230193.1787231853,0,0,1
427,2158,5,1,Urban,1958,300494.89658879273,0,0,1
428,2218,4,2,Suburb,1971,267560.2687840433,0,1,0
429,1400,4,1,Rural,1964,173748.30901295756,1,0,0
430,1639,2,2,Rural,1989,198112.8732028993,1,0,0
431,2056,4,1,Suburb,2014,237224.42820565245,0,1,0
432,1687,2,1,Suburb,2002,130383.649751031,0,1,0
433,1459,3,2,Suburb,1980,248587.29005790915,0,1,0
434,1954,5,2,Urban,1959,268826.7410314462,0,0,1
435,2906,4,1,Suburb,1983,307426.13760987023,0,1,0
436,1469,3,3,Suburb,1986,224293.97218700784,0,1,0
437,2398,3,1,Rural,1962,335992.3788479656,1,0,0
438,2045,2,1,Rural,1987,265649.0843029641,1,0,0
439,1749,2,3,Urban,1994,218960.6472310992,0,0,1
440,2693,4,1,Rural,1959,257512.558546102,1,0,0
441,1037,2,2,Rural,1971,86619.3046619419,1,0,0
442,1229,3,2,Suburb,2010,48780.11212797354,0,1,0
443,2388,3,3,Rural,1987,274896.26156200573,1,0,0
444,1562,5,1,Rural,2007,181237.83172594447,1,0,0
445,1437,3,2,Rural,1975,49052.37096077934,1,0,0
446,2799,4,1,Rural,1998,182649.2382746536,1,0,0
447,2306,5,3,Rural,2011,347942.00526169845,1,0,0
448,1026,2,2,Rural,1958,31998.01567703142,1,0,0
449,1225,5,3,Rural,2009,181103.2634891242,1,0,0
450,2300,3,1,Rural,1979,172216.0833107921,1,0,0
451,1797,4,1,Urban,1970,273262.8516738026,0,0,1
452,2632,2,1,Suburb,1999,306987.05161477905,0,1,0
453,1283,2,3,Rural,1978,172933.77203910236,1,0,0
454,1878,3,2,Suburb,1989,159685.44672150235,0,1,0
455,1959,4,3,Rural,1966,244916.4657968306,1,0,0
456,2504,3,2,Urban,2017,250927.64164111172,0,0,1
457,1452,3,1,Rural,2013,86276.33242040729,1,0,0
