,SquareFeet,Bedrooms,Bathrooms,YearBuilt,Price,Neighborhood_Rural,Neighborhood_Suburb,Neighborhood_Urban
274,1441,2,1,1957,161116,0,1,0
275,1563,4,3,2013,182494,0,1,0
276,2291,5,2,1965,276165,0,1,0
277,2533,4,3,2004,314516,0,1,0
278,2830,5,3,1975,272012,1,0,0
279,2409,5,3,2014,342249,0,0,1
280,2410,5,1,1977,258023,0,0,1
281,2136,4,1,1995,115459,1,0,0
282,2636,3,2,2003,240419,0,0,1
283,2648,4,2,2003,388951,1,0,0
284,1951,4,1,2021,250119,0,1,0
285,2104,3,1,1998,210586,0,0,1
286,1698,3,3,1995,234243,0,1,0
287,1112,5,1,1950,69293,0,0,1
288,1001,2,3,1993,163837,0,0,1
289,1641,2,1,1953,252127,0,0,1
290,1219,5,3,1980,117989,0,1,0
291,2589,4,1,1964,313948,1,0,0
292,1854,2,1,1950,254919,0,1,0
293,2759,4,2,2021,197521,1,0,0
294,2248,3,2,1955,198494,0,0,1
295,1384,3,3,1976,152204,0,0,1
296,2426,5,2,1975,308529,0,0,1
297,2661,4,2,2015,308854,0,0,1
298,2153,5,1,1962,246860,0,1,0
299,2076,2,3,2020,225867,1,0,0
300,2707,2,2,1983,249678,1,0,0
301,1729,2,2,1982,108636,1,0,0
302,2695,4,1,1989,299818,0,0,1
303,2733,5,1,1992,290094,0,1,0
304,2439,5,1,1956,272077,0,0,1
305,1246,2,3,1988,130941,1,0,0
306,1835,5,1,2015,241849,0,1,0
307,2462,3,3,1985,206273,0,1,0
308,1202,3,1,2013,155086,0,0,1
309,2207,3,2,1953,169742,0,1,0
310,1122,3,3,1971,148324,0,1,0
311,1400,5,1,2020,184460,0,1,0
312,1766,3,1,1953,138095,0,0,1
313,1293,3,2,2013,205414,0,0,1
314,1279,3,2,1971,183265,0,1,0
315,2860,3,2,2011,284616,0,0,1
316,1883,3,1,1989,181947,0,1,0
317,2633,4,2,1969,284003,1,0,0
318,1197,4,2,1958,90959,1,0,0
319,1981,3,3,2014,198755,0,1,0
320,2930,3,3,1972,370459,1,0,0
321,2534,5,3,1984,348379,1,0,0
322,1751,3,1,2008,270704,1,0,0
323,1143,2,3,1963,168931,0,1,0
324,1608,4,1,1993,189126,0,0,1
325,2224,3,2,1971,218168,0,1,0
326,2147,4,1,1977,199220,0,1,0
327,1186,3,1,2008,129960,0,0,1
328,2349,2,2,1996,281507,0,1,0
329,1463,3,3,2017,169378,0,1,0
330,2372,4,3,2019,248599,0,1,0
331,2794,4,3,1966,411678,1,0,0
332,1659,4,2,1980,119032,0,1,0
333,1763,5,1,1963,230075,0,1,0
334,1954,4,2,1998,122604,0,0,1
335,2955,3,2,2016,296998,1,0,0
336,1402,2,2,1970,109470,1,0,0
337,2369,2,2,1962,246212,0,1,0
338,2986,3,1,1999,310583,1,0,0
339,2534,5,3,2017,233756,1,0,0
340,1146,3,3,1961,100102,0,0,1
341,2171,4,2,1997,199324,0,0,1
342,1863,5,1,2013,331026,1,0,0
343,2734,3,2,1964,231041,0,0,1
344,2843,5,1,1965,333530,0,1,0
345,1488,2,2,2021,61092,0,0,1
346,1928,3,3,1999,205778,0,1,0
347,2959,3,3,1990,384570,0,0,1
348,2663,2,2,1953,339772,1,0,0
349,1550,5,3,1969,186745,0,1,0
350,1337,2,2,1957,185559,0,0,1
351,1871,5,1,2017,213894,0,0,1
352,1640,3,1,1996,180978,0,1,0
353,2802,5,1,1982,243011,0,0,1
354,2976,5,1,1954,265075,1,0,0
355,1472,4,2,2017,163315,0,1,0
356,2969,4,3,1990,384847,1,0,0
357,1150,4,1,2010,190479,0,1,0
358,2438,2,3,1973,204129,0,1,0
359,2321,2,2,1976,249930,0,1,0
360,2634,4,3,1978,372750,0,1,0
361,1262,3,3,2016,189650,1,0,0
362,2787,3,3,1986,308299,1,0,0
363,1143,3,2,2002,95784,0,1,0
364,1345,2,2,1951,165456,0,1,0
365,1623,5,2,1986,236531,1,0,0
366,2016,2,3,2021,212190,0,1,0
367,2595,4,1,2014,298280,0,1,0
368,1880,5,1,1997,172765,1,0,0
369,1001,3,3,1998,151917,1,0,0
370,1896,2,1,1996,196497,1,0,0
371,2327,2,1,1953,212603,0,0,1
372,1253,4,3,1952,205827,0,1,0
373,2675,3,2,1985,350608,1,0,0
374,1452,2,1,1955,64055,0,1,0
375,2060,2,2,1983,202645,0,0,1
376,2183,5,1,2001,215636,1,0,0
377,2014,2,3,1980,210336,1,0,0
378,1008,5,3,1983,161063,0,1,0
379,2256,2,2,1991,162732,0,1,0
380,2122,3,2,1997,283190,1,0,0
381,2682,4,2,2005,257018,1,0,0
382,1815,3,2,1967,161315,0,1,0
383,1207,4,3,1963,171344,0,1,0
384,2154,2,3,2018,301758,1,0,0
385,1403,3,3,2007,186512,0,0,1
386,1151,5,2,2019,147961,0,1,0
387,1053,4,3,2005,96856,0,1,0
388,2143,4,3,2002,241976,0,1,0
389,2696,2,1,2018,256546,1,0,0
390,2943,4,1,2009,245612,1,0,0
391,1627,4,1,1981,192616,1,0,0
392,1586,4,2,1996,234537,0,1,0
393,2648,2,2,1971,266525,0,1,0
394,2991,3,3,1953,411274,0,0,1
395,2443,2,3,1974,241617,1,0,0
396,2445,5,2,2010,230463,1,0,0
397,1103,4,1,1961,249885,0,1,0
398,2875,4,3,1980,320712,0,1,0
399,1253,3,1,1950,131536,0,0,1
400,2250,4,3,2010,258681,0,1,0
401,2135,3,1,1955,236721,0,1,0
402,1509,4,3,1971,152417,0,1,0
403,2496,4,1,1961,277449,0,0,1
404,1098,2,1,1972,97639,0,0,1
405,1152,2,2,1984,68864,0,0,1
406,2884,5,3,1963,292602,0,0,1
407,1913,3,1,1979,163126,0,0,1
408,2919,5,2,1971,316117,1,0,0
409,1877,2,3,1965,173591,0,1,0
410,1337,3,2,2020,245240,0,0,1
411,2729,2,1,1964,299136,0,0,1
412,1821,3,3,1951,102620,0,0,1
413,2186,4,1,1971,174740,0,0,1
414,2743,5,1,2012,303839,0,1,0
415,1956,5,2,1964,255500,0,1,0
416,2704,3,1,1968,305226,1,0,0
417,1160,5,3,1970,174048,0,1,0
418,2603,2,2,1976,240369,0,0,1
419,1800,5,1,1968,310732,0,0,1
420,1397,3,1,1975,125680,0,0,1
421,2300,5,1,1998,303253,0,0,1
422,1815,5,2,2007,137931,0,1,0
423,2939,2,3,2016,238181,0,1,0
424,2527,4,2,1974,299144,1,0,0
425,2919,2,1,1971,340122,0,1,0
426,2415,5,2,1963,230193,0,0,1
427,2158,5,1,1958,300494,0,0,1
428,2218,4,2,1971,267560,0,1,0
429,1400,4,1,1964,173748,1,0,0
430,1639,2,2,1989,198112,1,0,0
431,2056,4,1,2014,237224,0,1,0
432,1687,2,1,2002,130383,0,1,0
433,1459,3,2,1980,248587,0,1,0
434,1954,5,2,1959,268826,0,0,1
435,2906,4,1,1983,307426,0,1,0
436,1469,3,3,1986,224293,0,1,0
437,2398,3,1,1962,335992,1,0,0
438,2045,2,1,1987,265649,1,0,0
439,1749,2,3,1994,218960,0,0,1
440,2693,4,1,1959,257512,1,0,0
441,1037,2,2,1971,86619,1,0,0
442,1229,3,2,2010,48780,0,1,0
443,2388,3,3,1987,274896,1,0,0
444,1562,5,1,2007,181237,1,0,0
445,1437,3,2,1975,49052,1,0,0
446,2799,4,1,1998,182649,1,0,0
447,2306,5,3,2011,347942,1,0,0
448,1026,2,2,1958,31998,1,0,0
449,1225,5,3,2009,181103,1,0,0
450,2300,3,1,1979,172216,1,0,0
451,1797,4,1,1970,273262,0,0,1
452,2632,2,1,1999,306987,0,1,0
453,1283,2,3,1978,172933,1,0,0
454,1878,3,2,1989,159685,0,1,0
455,1959,4,3,1966,244916,1,0,0
456,2504,3,2,2017,250927,0,0,1
457,1452,3,1,2013,86276,1,0,0
458,2019,4,1,1972,209029,0,0,1
459,2852,3,3,1956,267060,1,0,0
460,1815,4,2,1983,158867,1,0,0
461,1658,4,1,1973,200254,0,1,0
462,2539,3,1,1956,197039,1,0,0
463,1546,3,3,1957,251427,1,0,0
464,2215,5,3,1952,298798,0,0,1
465,2072,2,2,1953,209615,0,1,0
466,2535,2,1,2012,343628,1,0,0
467,1016,4,2,2015,86742,0,1,0
468,2195,5,2,2018,260504,0,1,0
469,2243,4,2,1959,267664,1,0,0
470,1157,5,3,2012,87137,1,0,0
471,1476,4,2,1986,217625,1,0,0
472,2069,2,2,2021,179619,1,0,0
473,2396,5,2,1952,304272,1,0,0
474,1517,3,3,1978,180446,0,1,0
475,1098,3,3,2011,96810,0,0,1
476,2915,2,1,1982,293526,0,1,0
477,2768,5,3,2009,333027,1,0,0
478,2060,3,3,1991,261561,0,1,0
479,1279,3,2,2011,60826,0,0,1
480,2372,3,1,1955,278442,0,1,0
481,1496,2,3,1998,123828,1,0,0
482,1301,4,1,2021,88586,1,0,0
483,1180,3,2,1992,134443,1,0,0
484,1606,3,3,1958,136925,0,0,1
485,2122,4,2,2000,234164,1,0,0
486,1699,3,2,1963,150304,1,0,0
487,1992,5,1,1973,240050,1,0,0
488,2139,3,3,2021,277542,1,0,0
489,1190,4,1,1982,197241,0,1,0
490,1252,2,2,1978,101805,1,0,0
491,1980,2,3,1951,197810,0,1,0
492,1927,5,2,2001,172279,0,0,1
493,2184,3,1,1994,205236,0,1,0
494,2279,3,1,1987,206408,0,1,0
495,2346,4,2,1994,279439,0,1,0
496,1127,4,1,1965,127174,0,1,0
497,1017,5,1,1996,127458,0,1,0
498,2816,5,2,1974,356063,0,1,0
499,2758,3,3,2006,344787,0,0,1
500,1565,3,3,1968,153282,1,0,0
501,1569,5,3,1987,23125,0,0,1
502,2346,2,2,2015,297939,0,1,0
503,2895,2,2,1956,348536,0,1,0
504,1685,2,1,1969,145096,0,1,0
505,2815,2,3,1953,316533,0,0,1
506,1625,5,1,1964,273166,0,1,0
507,2311,4,2,2013,343467,0,0,1
508,2966,2,3,2006,258865,0,1,0
509,1853,5,2,1999,197763,0,1,0
510,2686,2,1,1966,196431,0,0,1
511,1961,3,1,1965,192271,0,0,1
512,2662,2,2,1952,252805,0,0,1
513,1154,5,2,1994,20075,0,0,1
514,1489,3,3,1993,225167,0,1,0
515,2409,3,2,2011,333108,0,1,0
516,1784,2,1,1958,253462,1,0,0
517,2127,2,1,2009,273921,0,1,0
518,2952,3,2,2006,230500,0,1,0
519,2416,4,2,2010,361696,0,1,0
520,2834,5,3,2013,319789,0,1,0
521,1245,5,1,1966,174765,0,1,0
522,2199,5,1,2007,300718,1,0,0
523,2062,5,1,1996,261326,0,0,1
524,2500,5,2,2001,363561,0,1,0
525,2705,3,1,1967,251734,0,1,0
526,1758,5,2,1986,280965,0,0,1
527,1537,4,3,2019,110904,0,0,1
528,2890,4,2,1966,335743,1,0,0
529,2841,2,3,1952,276296,1,0,0
530,1920,2,3,1982,222212,1,0,0
531,1407,2,2,1956,221697,0,0,1
532,1524,2,3,1951,223582,0,1,0
533,1827,3,2,1983,206212,0,0,1
534,2529,4,1,1953,214945,0,1,0
535,1902,3,2,1998,152143,0,0,1
536,2848,4,3,1966,376480,0,0,1
537,1035,3,3,2020,135298,0,0,1
538,1684,4,1,1961,160232,0,0,1
539,1019,2,2,1993,70855,0,1,0
540,1320,4,1,1998,183736,0,1,0
541,2799,2,3,2018,388318,0,1,0
542,1511,4,2,1966,165073,0,1,0
543,1399,3,3,1987,213210,1,0,0
544,1653,5,2,2005,140382,1,0,0
545,1971,4,1,2010,260495,0,0,1
546,2906,3,1,1981,385304,0,1,0
547,1470,5,3,2005,144254,0,1,0
548,2166,3,1,1972,277469,0,0,1
549,2115,5,1,2015,252361,0,0,1
550,2377,2,3,2016,256202,0,0,1
551,1833,4,3,1954,139343,0,1,0
552,2823,3,3,1972,246154,0,1,0
553,1726,4,2,2000,218372,0,1,0
554,2982,2,3,1974,309839,1,0,0
555,1853,2,2,1973,219293,0,0,1
556,1050,4,3,1979,203482,0,1,0
557,2688,3,2,2000,220036,0,0,1
558,2721,3,3,1979,365466,1,0,0
559,1574,3,2,2021,125013,0,0,1
560,2213,4,1,1995,234126,0,1,0
561,2148,3,3,2006,213331,0,0,1
562,1149,3,3,1978,91677,0,1,0
563,1313,5,2,2011,262434,1,0,0
564,1569,3,1,1978,184359,1,0,0
565,2365,2,1,1986,323820,0,1,0
566,1304,3,2,1989,97808,1,0,0
567,2715,4,3,2004,298075,0,0,1
568,1681,4,1,1975,128702,1,0,0
569,1837,3,3,1976,129730,1,0,0
570,2806,4,2,2000,326637,1,0,0
571,2077,4,3,1971,241442,1,0,0
572,2002,3,1,2014,259033,0,1,0
573,1443,5,2,1987,299103,1,0,0
574,1612,5,1,1950,127303,0,1,0
575,1992,5,3,1964,210318,0,1,0
576,1263,5,3,1960,188936,0,1,0
577,2076,2,2,2005,185380,0,0,1
578,2595,3,1,1987,294176,0,0,1
579,2003,4,1,2003,198735,0,1,0
580,2643,4,1,1972,268807,0,0,1
581,1004,3,2,1986,65228,1,0,0
582,2126,4,3,2000,262087,0,0,1
583,2219,2,3,2010,255398,1,0,0
584,1773,5,3,1971,200902,0,0,1
585,1876,3,1,2015,237628,0,1,0
586,1991,4,2,2004,201135,0,1,0
587,1883,2,1,2016,327202,0,0,1
588,2373,4,2,1975,313572,1,0,0
589,1046,2,1,1987,161735,1,0,0
590,1866,4,2,1999,135186,0,1,0
591,1822,5,1,1972,206442,1,0,0
592,1935,3,1,2002,176508,0,1,0
593,2843,5,2,1988,295895,0,0,1
594,1655,5,3,1972,215023,0,0,1
595,1268,4,3,2015,145269,0,0,1
596,1369,5,2,1977,156946,0,1,0
597,1635,3,2,2009,246606,0,0,1
598,2129,2,3,2016,194238,1,0,0
599,2693,2,1,1959,281991,0,1,0
600,2682,4,3,1983,258071,1,0,0
601,1656,3,2,1950,149913,0,0,1
602,1119,3,1,1986,118571,0,1,0
603,1830,2,2,2017,258490,0,1,0
604,2810,2,3,2020,237178,0,1,0
605,2627,5,1,2016,283416,0,0,1
606,2081,4,3,2007,234682,0,1,0
607,2974,2,3,1965,236267,0,1,0
608,2369,2,3,2013,220216,0,0,1
609,1740,3,1,1977,231805,0,0,1
610,2497,3,3,2019,293908,1,0,0
611,1116,3,1,1977,148823,1,0,0
612,2853,2,3,1967,317837,1,0,0
613,1790,4,3,1992,311154,0,1,0
614,2150,5,2,1963,256000,0,0,1
615,2416,4,3,1971,215724,1,0,0
616,2931,2,1,1963,249356,1,0,0
617,2012,5,2,1968,223423,0,0,1
618,2664,4,1,1968,272864,0,1,0
619,2081,2,3,1988,202344,0,0,1
620,1633,4,2,1982,228849,0,0,1
621,1512,2,2,1987,240983,0,0,1
622,2774,3,2,1981,289649,0,1,0
623,1801,4,1,1963,144200,1,0,0
624,2119,3,2,1972,257560,1,0,0
625,2661,3,2,1975,273196,0,1,0
626,2141,5,1,1999,235009,0,0,1
627,1559,5,1,2018,166047,0,0,1
628,2624,4,1,2004,258771,1,0,0
629,1487,2,3,2016,96385,1,0,0
630,2260,5,1,1969,246585,0,0,1
631,2908,5,1,2005,304455,0,1,0
632,1896,3,2,1964,171955,1,0,0
633,2295,3,3,2008,175119,0,1,0
634,2212,2,2,2006,273977,0,1,0
635,1703,5,1,1980,133660,0,0,1
636,2470,5,1,2018,276587,0,1,0
637,1580,2,2,1963,199265,0,0,1
638,1789,5,3,1971,133679,0,1,0
639,1860,4,3,1996,187289,1,0,0
640,1246,4,2,1991,195380,0,0,1
641,2986,2,1,2020,290467,0,0,1
642,2099,3,3,2010,125993,0,0,1
643,1153,2,3,1954,164864,0,0,1
644,2679,4,2,1973,271131,1,0,0
645,2458,5,3,1963,272401,0,0,1
646,1996,5,1,1997,214623,0,0,1
647,2109,3,2,1964,270288,1,0,0
648,1696,3,3,1977,263720,0,1,0
649,2308,4,1,1982,343733,1,0,0
650,2997,3,1,1996,386973,0,1,0
651,2243,2,2,2000,232462,0,0,1
652,2092,4,2,2005,246644,0,0,1
653,2070,5,1,2015,136921,0,1,0
654,2008,5,1,2003,265746,0,0,1
655,1093,5,3,1950,118967,1,0,0
656,2773,3,3,1962,225775,1,0,0
657,1957,4,3,2004,291978,1,0,0
658,2011,3,3,1993,261283,0,1,0
659,1452,2,3,2003,240942,0,1,0
